district,% behind ela 2015-16,% behind ela 2016-17,% behind math 2015-16,% behind math 2016-17,% goal ela 2015-16,% goal ela 2016-17,% goal math 2015-16,% goal math 2016-17,avg score ela 2015-16,avg score ela 2016-17,avg score math 2015-16,avg score math 2016-17,num tested ela 2015-16,num tested ela 2016-17,num tested math 2015-16,num tested math 2016-17,math score diff,ela score diff,math % goal diff,ela % goal diff
Litchfield School District,9.5,12.3,12.2,*,77.0,75.4,56.8,*,544,546,530,538,74,65,74,65,8.0,2.0,,-1.6
Madison School District,2.4,2.4,5.4,2.4,93.2,91.0,69.6,72.7,597,591,578,580,296,290,296,290,2.0,-6.0,3.1,-2.2
Manchester School District,28.7,30.2,35.5,28.0,50.9,50.9,20.5,22.0,479,479,454,462,352,338,352,338,8.0,0.0,1.5,0.0
Meriden School District,36.2,36.4,51.6,44.0,40.8,38.9,13.6,15.6,462,461,423,437,479,506,479,506,14.0,-1.0,2.0,-1.9
Middletown School District,24.6,25.1,31.1,28.9,54.0,54.6,25.8,32.7,492,501,466,482,285,315,285,315,16.0,9.0,6.9,0.6
Milford School District,8.2,10.3,14.6,13.8,75.4,77.3,36.4,48.4,533,546,502,522,452,409,452,409,20.0,13.0,12.0,1.9
Monroe School District,7.8,4.8,9.3,6.2,81.5,84.6,61.7,61.6,562,571,552,564,270,292,270,292,12.0,9.0,-0.1,3.1
Montville School District,14.0,11.2,18.5,14.5,69.1,76.0,37.8,44.1,515,539,500,513,137,179,137,179,13.0,24.0,6.3,6.9
Naugatuck School District,28.2,27.2,39.2,32.4,47.8,45.7,19.8,22.2,473,479,448,455,291,276,291,276,7.0,6.0,2.4,-2.1
New Britain School District,52.9,47.6,54.4,50.4,25.5,28.1,11.3,9.3,427,435,421,420,471,473,471,473,-1.0,8.0,-2.0,2.6
New Canaan School District,1.9,3.3,2.5,3.7,96.2,94.4,84.0,81.7,607,615,609,612,319,301,319,301,3.0,8.0,-2.3,-1.8
New Fairfield School District,6.6,7.4,12.3,15.3,84.1,79.8,47.1,42.9,564,552,523,513,227,203,227,203,-10.0,-12.0,-4.2,-4.3
New Haven School District,38.8,37.4,45.2,45.2,39.1,37.2,13.4,14.6,455,458,432,433,1147,1178,1147,1178,1.0,3.0,1.2,-1.9
New London School District,39.4,33.8,45.3,40.9,34.7,39.8,22.4,20.9,453,467,445,447,170,216,170,216,2.0,14.0,-1.5,5.1
New Milford School District,9.6,6.2,11.9,11.5,74.8,81.6,46.4,51.7,539,553,526,532,302,321,302,321,6.0,14.0,5.3,6.8
Newington School District,8.7,16.7,12.0,15.7,73.3,65.9,46.3,41.1,535,518,522,508,300,287,300,287,-14.0,-17.0,-5.2,-7.4
