"CT School Day SAT, 2016-17"
"All Districts, All Subjects, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA",39,39,100.0,39,"*","*",10,25.6,22,56.4,"*","*","*","*",488
"Achievement First Hartford Academy Inc. District","=""2880013""","Math",39,39,100.0,38,"*","*",20,52.6,13,34.2,"*","*","*","*",494
"Amistad Academy District","=""2790013""","ELA",50,48,96.0,47,"*","*",9,19.1,33,70.2,"*","*","*","*",511
"Amistad Academy District","=""2790013""","Math",50,48,96.0,47,10,21.3,28,59.6,9,19.1,0,0.0,9,19.1,467
"Ansonia School District","=""0020011""","ELA",134,127,94.8,127,38,29.9,26,20.5,52,40.9,11,8.7,63,49.6,478
"Ansonia School District","=""0020011""","Math",134,127,94.8,126,57,45.2,48,38.1,"*","*","*","*",21,16.7,444
"Area Cooperative Educational Services","=""2440014""","ELA",18,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Math",18,15,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA",285,282,98.9,282,14,5.0,19,6.7,120,42.6,129,45.7,249,88.3,603
"Avon School District","=""0040011""","Math",285,282,98.9,282,13,4.6,46,16.3,104,36.9,119,42.2,223,79.1,611
"Berlin School District","=""0070011""","ELA",218,216,99.1,216,25,11.6,33,15.3,121,56.0,37,17.1,158,73.1,534
"Berlin School District","=""0070011""","Math",218,216,99.1,216,27,12.5,91,42.1,72,33.3,26,12.0,98,45.4,523
"Bethel School District","=""0090011""","ELA",199,194,97.5,194,14,7.2,29,14.9,108,55.7,43,22.2,151,77.8,547
"Bethel School District","=""0090011""","Math",199,194,97.5,194,18,9.3,83,42.8,70,36.1,23,11.9,93,47.9,526
"Bloomfield School District","=""0110011""","ELA",160,154,96.3,154,34,22.1,49,31.8,64,41.6,7,4.5,71,46.1,475
"Bloomfield School District","=""0110011""","Math",160,154,96.3,154,46,29.9,85,55.2,"*","*","*","*",23,14.9,450
"Bolton School District","=""0120011""","ELA",79,79,100.0,79,6,7.6,9,11.4,42,53.2,22,27.8,64,81.0,562
"Bolton School District","=""0120011""","Math",79,79,100.0,79,14,17.7,26,32.9,30,38.0,9,11.4,39,49.4,521
"Branford School District","=""0140011""","ELA",219,215,98.2,215,26,12.1,38,17.7,121,56.3,30,14.0,151,70.2,524
"Branford School District","=""0140011""","Math",219,215,98.2,215,40,18.6,83,38.6,71,33.0,21,9.8,92,42.8,508
"Bridgeport Achievement First District","=""2850013""","ELA",36,34,94.4,34,"*","*",6,17.6,18,52.9,"*","*","*","*",508
"Bridgeport Achievement First District","=""2850013""","Math",36,34,94.4,34,8,23.5,18,52.9,8,23.5,0,0.0,8,23.5,471
"Bridgeport School District","=""0150011""","ELA",1247,1143,91.7,1143,490,42.9,255,22.3,341,29.8,57,5.0,398,34.8,449
"Bridgeport School District","=""0150011""","Math",1247,1143,91.7,1136,537,47.3,418,36.8,144,12.7,37,3.3,181,15.9,431
"Bristol School District","=""0170011""","ELA",564,552,97.9,552,107,19.4,102,18.5,278,50.4,65,11.8,343,62.1,508
"Bristol School District","=""0170011""","Math",564,552,97.9,551,120,21.8,260,47.2,143,26.0,28,5.1,171,31.0,484
"Brookfield School District","=""0180011""","ELA",214,207,96.7,207,"*","*","*","*",131,63.3,49,23.7,180,87.0,570
"Brookfield School District","=""0180011""","Math",214,207,96.7,207,11,5.3,72,34.8,92,44.4,32,15.5,124,59.9,554
"Brooklyn School District","=""0190011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA",118,115,97.5,115,"*","*","*","*",54,47.0,52,45.2,106,92.2,611
"Canton School District","=""0230011""","Math",118,115,97.5,115,6,5.2,31,27.0,49,42.6,29,25.2,78,67.8,572
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA",33,33,100.0,33,13,39.4,9,27.3,11,33.3,0,0.0,11,33.3,448
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math",33,33,100.0,33,17,51.5,"*","*","*","*",0,0.0,"*","*",419
"Capitol Region Education Council","=""2410014""","ELA",569,550,96.7,550,114,20.7,140,25.5,226,41.1,70,12.7,296,53.8,499
"Capitol Region Education Council","=""2410014""","Math",569,550,96.7,549,186,33.9,238,43.4,88,16.0,37,6.7,125,22.8,465
"Cheshire School District","=""0250011""","ELA",338,326,96.4,326,13,4.0,33,10.1,183,56.1,97,29.8,280,85.9,573
"Cheshire School District","=""0250011""","Math",338,326,96.4,324,25,7.7,89,27.5,142,43.8,68,21.0,210,64.8,563
"Clinton School District","=""0270011""","ELA",127,124,97.6,124,17,13.7,15,12.1,61,49.2,31,25.0,92,74.2,544
"Clinton School District","=""0270011""","Math",127,124,97.6,123,23,18.7,48,39.0,44,35.8,8,6.5,52,42.3,505
"Colchester School District","=""0280011""","ELA",221,218,98.6,218,19,8.7,32,14.7,125,57.3,42,19.3,167,76.6,540
"Colchester School District","=""0280011""","Math",221,218,98.6,218,26,11.9,72,33.0,93,42.7,27,12.4,120,55.0,530
"Common Ground High School District","=""2680013""","ELA",43,43,100.0,43,8,18.6,12,27.9,15,34.9,8,18.6,23,53.5,513
"Common Ground High School District","=""2680013""","Math",43,43,100.0,43,17,39.5,16,37.2,"*","*","*","*",10,23.3,462
"Connecticut Technical High School System","=""9000016""","ELA",2491,2481,99.6,2481,568,22.9,769,31.0,1079,43.5,65,2.6,1144,46.1,472
"Connecticut Technical High School System","=""9000016""","Math",2491,2481,99.6,2478,709,28.6,1415,57.1,326,13.2,28,1.1,354,14.3,452
"Cooperative Educational Services","=""2430014""","ELA",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Math",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA",120,115,95.8,115,11,9.6,17,14.8,55,47.8,32,27.8,87,75.7,553
"Coventry School District","=""0320011""","Math",120,115,95.8,115,13,11.3,38,33.0,50,43.5,14,12.2,64,55.7,532
"Cromwell School District","=""0330011""","ELA",151,149,98.7,149,16,10.7,14,9.4,87,58.4,32,21.5,119,79.9,545
"Cromwell School District","=""0330011""","Math",151,149,98.7,149,19,12.8,52,34.9,60,40.3,18,12.1,78,52.3,528
"Danbury School District","=""0340011""","ELA",695,674,97.0,674,159,23.6,132,19.6,313,46.4,70,10.4,383,56.8,494
