"CT School Day SAT, 2016-17"
"All Districts, All Subjects, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Danbury School District","=""0340011""","Math",695,674,97.0,670,199,29.7,303,45.2,141,21.0,27,4.0,168,25.1,466
"Darien School District","=""0350011""","ELA",339,325,95.9,325,8,2.5,9,2.8,130,40.0,178,54.8,308,94.8,627
"Darien School District","=""0350011""","Math",339,325,95.9,324,"*","*","*","*",119,36.7,159,49.1,278,85.8,633
"Derby School District","=""0370011""","ELA",83,82,98.8,82,24,29.3,15,18.3,33,40.2,10,12.2,43,52.4,487
"Derby School District","=""0370011""","Math",83,82,98.8,81,28,34.6,31,38.3,"*","*","*","*",22,27.2,470
"East Granby School District","=""0400011""","ELA",58,56,96.6,56,0,0.0,8,14.3,37,66.1,11,19.6,48,85.7,569
"East Granby School District","=""0400011""","Math",58,56,96.6,56,"*","*",17,30.4,30,53.6,"*","*","*","*",547
"East Haddam School District","=""0410011""","ELA",83,80,96.4,80,10,12.5,14,17.5,41,51.3,15,18.8,56,70.0,525
"East Haddam School District","=""0410011""","Math",83,80,96.4,80,22,27.5,36,45.0,"*","*","*","*",22,27.5,474
"East Hampton School District","=""0420011""","ELA",107,106,99.1,106,8,7.5,16,15.1,62,58.5,20,18.9,82,77.4,551
"East Hampton School District","=""0420011""","Math",107,106,99.1,106,14,13.2,46,43.4,33,31.1,13,12.3,46,43.4,516
"East Hartford School District","=""0430011""","ELA",470,442,94.0,442,148,33.5,110,24.9,148,33.5,36,8.1,184,41.6,468
"East Hartford School District","=""0430011""","Math",470,442,94.0,433,159,36.7,166,38.3,86,19.9,22,5.1,108,24.9,458
"East Haven School District","=""0440011""","ELA",228,217,95.2,217,44,20.3,57,26.3,106,48.8,10,4.6,116,53.5,487
"East Haven School District","=""0440011""","Math",228,217,95.2,217,52,24.0,125,57.6,"*","*","*","*",40,18.4,461
"East Lyme School District","=""0450011""","ELA",281,274,97.5,274,16,5.8,21,7.7,152,55.5,85,31.0,237,86.5,577
"East Lyme School District","=""0450011""","Math",281,274,97.5,274,24,8.8,94,34.3,91,33.2,65,23.7,156,56.9,554
"East Windsor School District","=""0470011""","ELA",89,87,97.8,87,11,12.6,14,16.1,52,59.8,10,11.5,62,71.3,511
"East Windsor School District","=""0470011""","Math",89,87,97.8,87,"*","*",34,39.1,30,34.5,"*","*","*","*",488
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA",82,75,91.5,75,21,28.0,"*","*",33,44.0,"*","*","*","*",473
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math",82,75,91.5,75,32,42.7,37,49.3,"*","*","*","*",6,8.0,429
"EdAdvance","=""2420014""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"EdAdvance","=""2420014""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA",175,174,99.4,174,10,5.7,26,14.9,108,62.1,30,17.2,138,79.3,542
"Ellington School District","=""0480011""","Math",175,174,99.4,173,12,6.9,73,42.2,71,41.0,17,9.8,88,50.9,532
"Elm City College Preparatory School District","=""2890013""","ELA",29,29,100.0,29,"*","*","*","*",15,51.7,6,20.7,21,72.4,516
"Elm City College Preparatory School District","=""2890013""","Math",29,29,100.0,29,"*","*",12,41.4,9,31.0,"*","*","*","*",498
"Enfield School District","=""0490011""","ELA",350,342,97.7,342,38,11.1,65,19.0,210,61.4,29,8.5,239,69.9,515
"Enfield School District","=""0490011""","Math",350,342,97.7,342,45,13.2,170,49.7,107,31.3,20,5.8,127,37.1,501
"Explorations District","=""2720013""","ELA",22,21,95.5,21,8,38.1,"*","*",7,33.3,"*","*","*","*",466
"Explorations District","=""2720013""","Math",22,21,95.5,21,9,42.9,9,42.9,"*","*","*","*","*","*",458
"Fairfield School District","=""0510011""","ELA",778,759,97.6,759,43,5.7,67,8.8,380,50.1,269,35.4,649,85.5,579
"Fairfield School District","=""0510011""","Math",778,759,97.6,759,49,6.5,236,31.1,329,43.3,145,19.1,474,62.5,558
"Farmington School District","=""0520011""","ELA",290,287,99.0,287,13,4.5,23,8.0,154,53.7,97,33.8,251,87.5,586
"Farmington School District","=""0520011""","Math",290,287,99.0,286,18,6.3,77,26.9,112,39.2,79,27.6,191,66.8,577
"Glastonbury School District","=""0540011""","ELA",490,480,98.0,480,28,5.8,47,9.8,232,48.3,173,36.0,405,84.4,584
"Glastonbury School District","=""0540011""","Math",490,480,98.0,478,26,5.4,95,19.9,197,41.2,160,33.5,357,74.7,595
"Granby School District","=""0560011""","ELA",156,152,97.4,152,6,3.9,10,6.6,81,53.3,55,36.2,136,89.5,585
"Granby School District","=""0560011""","Math",156,152,97.4,152,13,8.6,34,22.4,68,44.7,37,24.3,105,69.1,571
"Greenwich School District","=""0570011""","ELA",617,598,96.9,598,41,6.9,51,8.5,269,45.0,237,39.6,506,84.6,586
"Greenwich School District","=""0570011""","Math",617,598,96.9,597,55,9.2,171,28.6,201,33.7,170,28.5,371,62.1,570
"Griswold School District","=""0580011""","ELA",146,139,95.2,139,17,12.2,26,18.7,81,58.3,15,10.8,96,69.1,520
"Griswold School District","=""0580011""","Math",146,139,95.2,139,"*","*",66,47.5,49,35.3,"*","*","*","*",495
"Groton School District","=""0590011""","ELA",237,228,96.2,228,46,20.2,34,14.9,110,48.2,38,16.7,148,64.9,518
"Groton School District","=""0590011""","Math",237,228,96.2,226,46,20.4,93,41.2,63,27.9,24,10.6,87,38.5,501
"Guilford School District","=""0600011""","ELA",286,286,100.0,286,15,5.2,30,10.5,155,54.2,86,30.1,241,84.3,582
"Guilford School District","=""0600011""","Math",286,286,100.0,285,29,10.2,76,26.7,114,40.0,66,23.2,180,63.2,561
"Hamden School District","=""0620011""","ELA",397,389,98.0,389,88,22.6,72,18.5,189,48.6,40,10.3,229,58.9,498
"Hamden School District","=""0620011""","Math",397,389,98.0,387,99,25.6,178,46.0,97,25.1,13,3.4,110,28.4,474
"Hartford School District","=""0640011""","ELA",1251,1114,89.0,1114,455,40.8,261,23.4,323,29.0,75,6.7,398,35.7,452
"Hartford School District","=""0640011""","Math",1251,1114,89.0,1101,532,48.3,400,36.3,132,12.0,37,3.4,169,15.3,432
"Highville Charter School District","=""2860013""","ELA",22,22,100.0,22,"*","*",9,40.9,"*","*",0,0.0,"*","*",435
"Highville Charter School District","=""2860013""","Math",22,22,100.0,22,11,50.0,11,50.0,0,0.0,0,0.0,0,0.0,408
"Jumoke Academy District","=""2610013""","ELA",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Math",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","ELA",185,178,96.2,178,40,22.5,38,21.3,87,48.9,13,7.3,100,56.2,493
"Killingly School District","=""0690011""","Math",185,178,96.2,178,51,28.7,87,48.9,"*","*","*","*",40,22.5,458
"Learn","=""2450014""","ELA",195,191,97.9,191,53,27.7,39,20.4,66,34.6,33,17.3,99,51.8,498
"Learn","=""2450014""","Math",195,191,97.9,190,59,31.1,78,41.1,42,22.1,11,5.8,53,27.9,470
"Lebanon School District","=""0710011""","ELA",89,88,98.9,88,15,17.0,16,18.2,41,46.6,16,18.2,57,64.8,527
"Lebanon School District","=""0710011""","Math",89,88,98.9,88,15,17.0,31,35.2,35,39.8,7,8.0,42,47.7,510
"Ledyard School District","=""0720011""","ELA",195,194,99.5,194,20,10.3,38,19.6,99,51.0,37,19.1,136,70.1,538
"Ledyard School District","=""0720011""","Math",195,194,99.5,194,35,18.0,77,39.7,59,30.4,23,11.9,82,42.3,512
"Litchfield School District","=""0740011""","ELA",65,65,100.0,65,8,12.3,8,12.3,34,52.3,15,23.1,49,75.4,546
"Litchfield School District","=""0740011""","Math",65,65,100.0,65,"*","*",24,36.9,27,41.5,"*","*","*","*",538
"Madison School District","=""0760011""","ELA",296,290,98.0,290,7,2.4,19,6.6,162,55.9,102,35.2,264,91.0,591
"Madison School District","=""0760011""","Math",296,290,98.0,289,7,2.4,72,24.9,141,48.8,69,23.9,210,72.7,580
"Manchester School District","=""0770011""","ELA",374,338,90.4,338,102,30.2,64,18.9,144,42.6,28,8.3,172,50.9,479
"Manchester School District","=""0770011""","Math",374,338,90.4,332,93,28.0,166,50.0,65,19.6,8,2.4,73,22.0,462
"Meriden School District","=""0800011""","ELA",527,506,96.0,506,184,36.4,125,24.7,167,33.0,30,5.9,197,38.9,461
"Meriden School District","=""0800011""","Math",527,506,96.0,500,220,44.0,202,40.4,69,13.8,9,1.8,78,15.6,437
"Middletown School District","=""0830011""","ELA",317,315,99.4,315,79,25.1,64,20.3,124,39.4,48,15.2,172,54.6,501
"Middletown School District","=""0830011""","Math",317,315,99.4,315,91,28.9,121,38.4,81,25.7,22,7.0,103,32.7,482
"Milford School District","=""0840011""","ELA",427,409,95.8,409,42,10.3,51,12.5,231,56.5,85,20.8,316,77.3,546
"Milford School District","=""0840011""","Math",427,409,95.8,407,56,13.8,154,37.8,153,37.6,44,10.8,197,48.4,522
"Monroe School District","=""0850011""","ELA",302,292,96.7,292,14,4.8,31,10.6,160,54.8,87,29.8,247,84.6,571
"Monroe School District","=""0850011""","Math",302,292,96.7,292,18,6.2,94,32.2,109,37.3,71,24.3,180,61.6,564
"Montville School District","=""0860011""","ELA",184,179,97.3,179,20,11.2,23,12.8,108,60.3,28,15.6,136,76.0,539
"Montville School District","=""0860011""","Math",184,179,97.3,179,26,14.5,74,41.3,65,36.3,14,7.8,79,44.1,513
"Naugatuck School District","=""0880011""","ELA",300,276,92.0,276,75,27.2,75,27.2,103,37.3,23,8.3,126,45.7,479
"Naugatuck School District","=""0880011""","Math",300,276,92.0,275,89,32.4,125,45.5,"*","*","*","*",61,22.2,455
"New Britain School District","=""0890011""","ELA",529,473,89.4,473,225,47.6,115,24.3,119,25.2,14,3.0,133,28.1,435
"New Britain School District","=""0890011""","Math",529,473,89.4,472,238,50.4,190,40.3,"*","*","*","*",44,9.3,420
"New Canaan School District","=""0900011""","ELA",310,301,97.1,301,10,3.3,7,2.3,139,46.2,145,48.2,284,94.4,615
"New Canaan School District","=""0900011""","Math",310,301,97.1,300,11,3.7,44,14.7,126,42.0,119,39.7,245,81.7,612
"New Fairfield School District","=""0910011""","ELA",207,203,98.1,203,15,7.4,26,12.8,120,59.1,42,20.7,162,79.8,552
"New Fairfield School District","=""0910011""","Math",207,203,98.1,203,31,15.3,85,41.9,70,34.5,17,8.4,87,42.9,513
"New Haven School District","=""0930011""","ELA",1319,1178,89.3,1178,441,37.4,299,25.4,361,30.6,77,6.5,438,37.2,458
"New Haven School District","=""0930011""","Math",1319,1178,89.3,1175,531,45.2,472,40.2,140,11.9,32,2.7,172,14.6,433
"New London School District","=""0950011""","ELA",234,216,92.3,216,73,33.8,57,26.4,69,31.9,17,7.9,86,39.8,467
"New London School District","=""0950011""","Math",234,216,92.3,215,88,40.9,82,38.1,37,17.2,8,3.7,45,20.9,447
"New Milford School District","=""0960011""","ELA",336,321,95.5,321,20,6.2,39,12.1,195,60.7,67,20.9,262,81.6,553
"New Milford School District","=""0960011""","Math",336,321,95.5,321,37,11.5,118,36.8,125,38.9,41,12.8,166,51.7,532
"Newington School District","=""0940011""","ELA",292,287,98.3,287,48,16.7,50,17.4,149,51.9,40,13.9,189,65.9,518
"Newington School District","=""0940011""","Math",292,287,98.3,287,45,15.7,124,43.2,90,31.4,28,9.8,118,41.1,508
"Newtown School District","=""0970011""","ELA",420,410,97.6,410,20,4.9,30,7.3,228,55.6,132,32.2,360,87.8,580
"Newtown School District","=""0970011""","Math",420,410,97.6,410,21,5.1,89,21.7,197,48.0,103,25.1,300,73.2,578
"North Branford School District","=""0990011""","ELA",146,145,99.3,145,12,8.3,15,10.3,95,65.5,23,15.9,118,81.4,537
"North Branford School District","=""0990011""","Math",146,145,99.3,145,17,11.7,71,49.0,44,30.3,13,9.0,57,39.3,514
"North Haven School District","=""1010011""","ELA",247,240,97.2,240,23,9.6,34,14.2,136,56.7,47,19.6,183,76.3,541
"North Haven School District","=""1010011""","Math",247,240,97.2,240,26,10.8,100,41.7,90,37.5,24,10.0,114,47.5,522
"North Stonington School District","=""1020011""","ELA",43,43,100.0,43,6,14.0,6,14.0,17,39.5,14,32.6,31,72.1,558
"North Stonington School District","=""1020011""","Math",43,43,100.0,43,"*","*",18,41.9,13,30.2,"*","*","*","*",543
"Norwalk School District","=""1030011""","ELA",861,818,95.0,818,186,22.7,169,20.7,360,44.0,103,12.6,463,56.6,502
"Norwalk School District","=""1030011""","Math",861,818,95.0,818,196,24.0,362,44.3,191,23.3,69,8.4,260,31.8,485
"Norwich Free Academy District","=""9010022""","ELA",561,534,95.2,533,117,22.0,104,19.5,236,44.3,76,14.3,312,58.5,507
"Norwich Free Academy District","=""9010022""","Math",561,534,95.2,533,138,25.9,206,38.6,137,25.7,52,9.8,189,35.5,491
"Norwich School District","=""1040011""","ELA",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","Math",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","ELA",111,109,98.2,109,9,8.3,12,11.0,57,52.3,31,28.4,88,80.7,559
"Old Saybrook School District","=""1060011""","Math",111,109,98.2,109,14,12.8,33,30.3,44,40.4,18,16.5,62,56.9,545
"Oxford School District","=""1080011""","ELA",137,135,98.5,135,7,5.2,11,8.1,80,59.3,37,27.4,117,86.7,568
"Oxford School District","=""1080011""","Math",137,135,98.5,135,11,8.1,45,33.3,63,46.7,16,11.9,79,58.5,537
"Path Academy District","=""2930013""","ELA",46,20,43.5,20,14,70.0,"*","*","*","*",0,0.0,"*","*",383
"Path Academy District","=""2930013""","Math",46,20,43.5,18,"*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","ELA",164,151,92.1,151,33,21.9,45,29.8,57,37.7,16,10.6,73,48.3,489
"Plainfield School District","=""1090011""","Math",164,151,92.1,149,41,27.5,67,45.0,"*","*","*","*",41,27.5,469
"Plainville School District","=""1100011""","ELA",157,155,98.7,155,24,15.5,20,12.9,88,56.8,23,14.8,111,71.6,525
"Plainville School District","=""1100011""","Math",157,155,98.7,154,28,18.2,62,40.3,57,37.0,7,4.5,64,41.6,499
"Plymouth School District","=""1110011""","ELA",125,121,96.8,121,26,21.5,21,17.4,62,51.2,12,9.9,74,61.2,503
"Plymouth School District","=""1110011""","Math",125,121,96.8,120,"*","*",47,39.2,45,37.5,"*","*","*","*",493
"Portland School District","=""1130011""","ELA",86,86,100.0,86,10,11.6,10,11.6,49,57.0,17,19.8,66,76.7,542
"Portland School District","=""1130011""","Math",86,86,100.0,85,12,14.1,29,34.1,28,32.9,16,18.8,44,51.8,532
"Putnam School District","=""1160011""","ELA",69,64,92.8,64,"*","*",18,28.1,27,42.2,"*","*","*","*",478
"Putnam School District","=""1160011""","Math",69,64,92.8,64,18,28.1,34,53.1,"*","*","*","*",12,18.8,447
"Regional School District 01","=""2010012""","ELA",88,85,96.6,85,20,23.5,14,16.5,41,48.2,10,11.8,51,60.0,503
"Regional School District 01","=""2010012""","Math",88,85,96.6,84,"*","*",39,46.4,24,28.6,"*","*","*","*",482
"Regional School District 04","=""2040012""","ELA",157,154,98.1,154,12,7.8,10,6.5,90,58.4,42,27.3,132,85.7,569
"Regional School District 04","=""2040012""","Math",157,154,98.1,154,15,9.7,61,39.6,60,39.0,18,11.7,78,50.6,525
"Regional School District 05","=""2050012""","ELA",356,355,99.7,355,8,2.3,41,11.5,176,49.6,130,36.6,306,86.2,588
"Regional School District 05","=""2050012""","Math",356,355,99.7,355,16,4.5,100,28.2,143,40.3,96,27.0,239,67.3,578
"Regional School District 06","=""2060012""","ELA",106,104,98.1,104,18,17.3,16,15.4,56,53.8,14,13.5,70,67.3,516
"Regional School District 06","=""2060012""","Math",106,104,98.1,100,"*","*",49,49.0,30,30.0,"*","*","*","*",495
"Regional School District 07","=""2070012""","ELA",173,173,100.0,173,11,6.4,21,12.1,91,52.6,50,28.9,141,81.5,568
"Regional School District 07","=""2070012""","Math",173,173,100.0,173,17,9.8,46,26.6,79,45.7,31,17.9,110,63.6,551
"Regional School District 08","=""2080012""","ELA",271,268,98.9,268,7,2.6,21,7.8,138,51.5,102,38.1,240,89.6,587
"Regional School District 08","=""2080012""","Math",271,268,98.9,268,10,3.7,59,22.0,123,45.9,76,28.4,199,74.3,586
"Regional School District 09","=""2090012""","ELA",238,224,94.1,224,"*","*","*","*",112,50.0,91,40.6,203,90.6,592
"Regional School District 09","=""2090012""","Math",238,224,94.1,224,9,4.0,59,26.3,100,44.6,56,25.0,156,69.6,578
"Regional School District 10","=""2100012""","ELA",198,196,99.0,196,12,6.1,16,8.2,97,49.5,71,36.2,168,85.7,581
"Regional School District 10","=""2100012""","Math",198,196,99.0,196,16,8.2,57,29.1,83,42.3,40,20.4,123,62.8,558
"Regional School District 11","=""2110012""","ELA",30,30,100.0,30,"*","*","*","*",20,66.7,"*","*","*","*",543
"Regional School District 11","=""2110012""","Math",30,30,100.0,30,"*","*",10,33.3,12,40.0,"*","*","*","*",530
"Regional School District 12","=""2120012""","ELA",58,58,100.0,58,"*","*","*","*",30,51.7,18,31.0,48,82.8,574
"Regional School District 12","=""2120012""","Math",58,58,100.0,58,"*","*",22,37.9,26,44.8,"*","*","*","*",533
"Regional School District 13","=""2130012""","ELA",128,126,98.4,126,"*","*","*","*",87,69.0,27,21.4,114,90.5,574
"Regional School District 13","=""2130012""","Math",128,126,98.4,126,10,7.9,39,31.0,56,44.4,21,16.7,77,61.1,552
"Regional School District 14","=""2140012""","ELA",194,192,99.0,192,25,13.0,28,14.6,102,53.1,37,19.3,139,72.4,537
"Regional School District 14","=""2140012""","Math",194,192,99.0,192,25,13.0,69,35.9,72,37.5,26,13.5,98,51.0,529
"Regional School District 15","=""2150012""","ELA",290,285,98.3,285,13,4.6,26,9.1,165,57.9,81,28.4,246,86.3,576
"Regional School District 15","=""2150012""","Math",290,285,98.3,284,20,7.0,72,25.4,133,46.8,59,20.8,192,67.6,566
"Regional School District 16","=""2160012""","ELA",172,168,97.7,168,18,10.7,20,11.9,98,58.3,32,19.0,130,77.4,540
"Regional School District 16","=""2160012""","Math",172,168,97.7,168,28,16.7,70,41.7,58,34.5,12,7.1,70,41.7,505
"Regional School District 17","=""2170012""","ELA",167,164,98.2,164,14,8.5,18,11.0,91,55.5,41,25.0,132,80.5,560
"Regional School District 17","=""2170012""","Math",167,164,98.2,164,12,7.3,63,38.4,63,38.4,26,15.9,89,54.3,541
"Regional School District 18","=""2180012""","ELA",118,113,95.8,113,"*","*","*","*",51,45.1,48,42.5,99,87.6,596
"Regional School District 18","=""2180012""","Math",118,113,95.8,113,6,5.3,28,24.8,56,49.6,23,20.4,79,69.9,569
"Regional School District 19","=""2190012""","ELA",306,298,97.4,298,32,10.7,30,10.1,152,51.0,84,28.2,236,79.2,562
"Regional School District 19","=""2190012""","Math",306,298,97.4,298,25,8.4,89,29.9,111,37.2,73,24.5,184,61.7,561
"Ridgefield School District","=""1180011""","ELA",420,400,95.2,400,6,1.5,22,5.5,175,43.8,197,49.3,372,93.0,613
"Ridgefield School District","=""1180011""","Math",420,400,95.2,399,13,3.3,75,18.8,173,43.4,138,34.6,311,77.9,600
"Rocky Hill School District","=""1190011""","ELA",181,177,97.8,177,17,9.6,18,10.2,100,56.5,42,23.7,142,80.2,559
"Rocky Hill School District","=""1190011""","Math",181,177,97.8,177,23,13.0,50,28.2,76,42.9,28,15.8,104,58.8,541
"Seymour School District","=""1240011""","ELA",151,149,98.7,149,17,11.4,22,14.8,83,55.7,27,18.1,110,73.8,539
"Seymour School District","=""1240011""","Math",151,149,98.7,149,16,10.7,54,36.2,67,45.0,12,8.1,79,53.0,522
"Shelton School District","=""1260011""","ELA",330,322,97.6,322,20,6.2,53,16.5,196,60.9,53,16.5,249,77.3,543
"Shelton School District","=""1260011""","Math",330,322,97.6,321,33,10.3,121,37.7,120,37.4,47,14.6,167,52.0,535
"Simsbury School District","=""1280011""","ELA",333,329,98.8,329,11,3.3,12,3.6,147,44.7,159,48.3,306,93.0,614
"Simsbury School District","=""1280011""","Math",333,329,98.8,329,11,3.3,64,19.5,141,42.9,113,34.3,254,77.2,597
"Somers School District","=""1290011""","ELA",117,117,100.0,117,13,11.1,11,9.4,60,51.3,33,28.2,93,79.5,552
"Somers School District","=""1290011""","Math",117,117,100.0,116,16,13.8,43,37.1,29,25.0,28,24.1,57,49.1,536
"South Windsor School District","=""1320011""","ELA",335,328,97.9,328,24,7.3,38,11.6,170,51.8,96,29.3,266,81.1,567
"South Windsor School District","=""1320011""","Math",335,328,97.9,328,24,7.3,111,33.8,120,36.6,73,22.3,193,58.8,557
