"CT School Day SAT, 2015-16"
"State of Connecticut, All Subjects, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Subject","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"State of Connecticut","ELA",40163,37872,94.3,37853,6685,17.7,6556,17.3,18085,47.8,6527,17.2,24612,65.0,520
"State of Connecticut","Math",40163,37872,94.3,37816,8755,23.2,14190,37.5,10664,28.2,4207,11.1,14871,39.3,502

