"CT School Day SAT, 2016-17"
"All Districts, All Subjects, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Avon School District","=""0040011""","ELA","Y",42,40,95.2,40,"*","*",13,32.5,15,37.5,"*","*","*","*",482
"Avon School District","=""0040011""","ELA","N",243,242,99.6,242,"*","*",6,2.5,105,43.4,"*","*","*","*",623
"Avon School District","=""0040011""","Math","Y",42,40,95.2,40,"*","*",14,35.0,11,27.5,"*","*","*","*",498
"Avon School District","=""0040011""","Math","N",243,242,99.6,242,"*","*",32,13.2,93,38.4,"*","*","*","*",630
"Berlin School District","=""0070011""","ELA","Y",50,49,98.0,49,19,38.8,9,18.4,21,42.9,0,0.0,21,42.9,453
"Berlin School District","=""0070011""","ELA","N",168,167,99.4,167,6,3.6,24,14.4,100,59.9,37,22.2,137,82.0,557
"Berlin School District","=""0070011""","Math","Y",50,49,98.0,49,17,34.7,26,53.1,6,12.2,0,0.0,6,12.2,438
"Berlin School District","=""0070011""","Math","N",168,167,99.4,167,10,6.0,65,38.9,66,39.5,26,15.6,92,55.1,548
"Bethel School District","=""0090011""","ELA","Y",49,45,91.8,45,"*","*",7,15.6,26,57.8,"*","*","*","*",496
"Bethel School District","=""0090011""","ELA","N",150,149,99.3,149,"*","*",22,14.8,82,55.0,"*","*","*","*",563
"Bethel School District","=""0090011""","Math","Y",49,45,91.8,45,11,24.4,22,48.9,"*","*","*","*",12,26.7,478
"Bethel School District","=""0090011""","Math","N",150,149,99.3,149,"*","*",61,40.9,60,40.3,"*","*","*","*",541
"Bloomfield School District","=""0110011""","ELA","Y",80,78,97.5,78,"*","*",25,32.1,31,39.7,"*","*","*","*",461
"Bloomfield School District","=""0110011""","ELA","N",80,76,95.0,76,"*","*",24,31.6,33,43.4,"*","*","*","*",489
"Bloomfield School District","=""0110011""","Math","Y",80,78,97.5,78,31,39.7,39,50.0,8,10.3,0,0.0,8,10.3,434
"Bloomfield School District","=""0110011""","Math","N",80,76,95.0,76,15,19.7,46,60.5,"*","*","*","*",15,19.7,467
"Bolton School District","=""0120011""","ELA","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","ELA","N",64,64,100.0,64,"*","*","*","*","*","*","*","*","*","*",584
"Bolton School District","=""0120011""","Math","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Math","N",64,64,100.0,64,"*","*","*","*","*","*","*","*","*","*",546
"Branford School District","=""0140011""","ELA","Y",75,72,96.0,72,"*","*",23,31.9,23,31.9,"*","*","*","*",470
"Branford School District","=""0140011""","ELA","N",144,143,99.3,143,"*","*",15,10.5,98,68.5,"*","*","*","*",552
"Branford School District","=""0140011""","Math","Y",75,72,96.0,72,31,43.1,25,34.7,"*","*","*","*",16,22.2,442
"Branford School District","=""0140011""","Math","N",144,143,99.3,143,"*","*",58,40.6,57,39.9,"*","*","*","*",541
"Bridgeport Achievement First District","=""2850013""","ELA","Y",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","ELA","N",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Math","Y",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Math","N",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","ELA","Y",756,670,88.6,670,380,56.7,148,22.1,133,19.9,9,1.3,142,21.2,419
"Bridgeport School District","=""0150011""","ELA","N",491,473,96.3,473,110,23.3,107,22.6,208,44.0,48,10.1,256,54.1,493
"Bridgeport School District","=""0150011""","Math","Y",756,670,88.6,664,406,61.1,208,31.3,"*","*","*","*",50,7.5,400
"Bridgeport School District","=""0150011""","Math","N",491,473,96.3,472,131,27.8,210,44.5,"*","*","*","*",131,27.8,474
"Bristol School District","=""0170011""","ELA","Y",242,235,97.1,235,91,38.7,55,23.4,76,32.3,13,5.5,89,37.9,459
"Bristol School District","=""0170011""","ELA","N",322,317,98.4,317,16,5.0,47,14.8,202,63.7,52,16.4,254,80.1,545
"Bristol School District","=""0170011""","Math","Y",242,235,97.1,234,96,41.0,99,42.3,"*","*","*","*",39,16.7,438
"Bristol School District","=""0170011""","Math","N",322,317,98.4,317,"*","*",161,50.8,109,34.4,"*","*","*","*",518
"Brookfield School District","=""0180011""","ELA","Y",39,35,89.7,35,"*","*",10,28.6,20,57.1,"*","*","*","*",503
"Brookfield School District","=""0180011""","ELA","N",175,172,98.3,172,"*","*",12,7.0,111,64.5,"*","*","*","*",584
"Brookfield School District","=""0180011""","Math","Y",39,35,89.7,35,"*","*",15,42.9,11,31.4,"*","*","*","*",502
"Brookfield School District","=""0180011""","Math","N",175,172,98.3,172,"*","*",57,33.1,81,47.1,"*","*","*","*",564
"Brooklyn School District","=""0190011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA","Y",26,23,88.5,23,"*","*","*","*",12,52.2,"*","*","*","*",535
"Canton School District","=""0230011""","ELA","N",92,92,100.0,92,"*","*","*","*",42,45.7,"*","*","*","*",630
"Canton School District","=""0230011""","Math","Y",26,23,88.5,23,"*","*",11,47.8,6,26.1,"*","*","*","*",494
"Canton School District","=""0230011""","Math","N",92,92,100.0,92,"*","*",20,21.7,43,46.7,"*","*","*","*",591
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","ELA","Y",330,311,94.2,311,96,30.9,84,27.0,114,36.7,17,5.5,131,42.1,467
"Capitol Region Education Council","=""2410014""","ELA","N",239,239,100.0,239,18,7.5,56,23.4,112,46.9,53,22.2,165,69.0,541
"Capitol Region Education Council","=""2410014""","Math","Y",330,311,94.2,310,129,41.6,142,45.8,32,10.3,7,2.3,39,12.6,435
"Capitol Region Education Council","=""2410014""","Math","N",239,239,100.0,239,57,23.8,96,40.2,56,23.4,30,12.6,86,36.0,503
"Cheshire School District","=""0250011""","ELA","Y",63,54,85.7,54,"*","*",16,29.6,26,48.1,"*","*","*","*",476
"Cheshire School District","=""0250011""","ELA","N",275,272,98.9,272,"*","*",17,6.3,157,57.7,"*","*","*","*",593
"Cheshire School District","=""0250011""","Math","Y",63,54,85.7,52,16,30.8,20,38.5,"*","*","*","*",16,30.8,472
"Cheshire School District","=""0250011""","Math","N",275,272,98.9,272,"*","*",69,25.4,129,47.4,"*","*","*","*",581
"Clinton School District","=""0270011""","ELA","Y",30,30,100.0,30,"*","*","*","*",9,30.0,0,0.0,9,30.0,434
"Clinton School District","=""0270011""","ELA","N",97,94,96.9,94,"*","*","*","*",52,55.3,31,33.0,83,88.3,579
"Clinton School District","=""0270011""","Math","Y",30,30,100.0,29,15,51.7,"*","*","*","*",0,0.0,"*","*",418
"Clinton School District","=""0270011""","Math","N",97,94,96.9,94,"*","*",37,39.4,"*","*",8,8.5,"*","*",532
"Colchester School District","=""0280011""","ELA","Y",49,48,98.0,48,"*","*",11,22.9,18,37.5,"*","*","*","*",470
"Colchester School District","=""0280011""","ELA","N",172,170,98.8,170,"*","*",21,12.4,107,62.9,"*","*","*","*",560
"Colchester School District","=""0280011""","Math","Y",49,48,98.0,48,14,29.2,22,45.8,"*","*","*","*",12,25.0,462
"Colchester School District","=""0280011""","Math","N",172,170,98.8,170,"*","*",50,29.4,83,48.8,"*","*","*","*",549
"Common Ground High School District","=""2680013""","ELA","Y",22,22,100.0,22,"*","*","*","*",6,27.3,"*","*","*","*",477
"Common Ground High School District","=""2680013""","ELA","N",21,21,100.0,21,"*","*","*","*",9,42.9,"*","*","*","*",551
"Common Ground High School District","=""2680013""","Math","Y",22,22,100.0,22,"*","*",8,36.4,"*","*",0,0.0,"*","*",415
"Common Ground High School District","=""2680013""","Math","N",21,21,100.0,21,"*","*",8,38.1,"*","*","*","*","*","*",510
"Connecticut Technical High School System","=""9000016""","ELA","Y",1274,1271,99.8,1271,359,28.2,418,32.9,469,36.9,25,2.0,494,38.9,460
"Connecticut Technical High School System","=""9000016""","ELA","N",1217,1210,99.4,1210,209,17.3,351,29.0,610,50.4,40,3.3,650,53.7,485
"Connecticut Technical High School System","=""9000016""","Math","Y",1274,1271,99.8,1269,444,35.0,699,55.1,116,9.1,10,0.8,126,9.9,439
"Connecticut Technical High School System","=""9000016""","Math","N",1217,1210,99.4,1209,265,21.9,716,59.2,210,17.4,18,1.5,228,18.9,467
"Cooperative Educational Services","=""2430014""","ELA","Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Math","Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA","Y",36,32,88.9,32,"*","*",11,34.4,9,28.1,"*","*","*","*",483
"Coventry School District","=""0320011""","ELA","N",84,83,98.8,83,"*","*",6,7.2,46,55.4,"*","*","*","*",580
"Coventry School District","=""0320011""","Math","Y",36,32,88.9,32,"*","*",17,53.1,"*","*","*","*","*","*",467
"Coventry School District","=""0320011""","Math","N",84,83,98.8,83,"*","*",21,25.3,"*","*","*","*","*","*",557
"Cromwell School District","=""0330011""","ELA","Y",32,31,96.9,31,"*","*",6,19.4,10,32.3,"*","*","*","*",446
"Cromwell School District","=""0330011""","ELA","N",119,118,99.2,118,"*","*",8,6.8,77,65.3,"*","*","*","*",571
"Cromwell School District","=""0330011""","Math","Y",32,31,96.9,31,10,32.3,15,48.4,6,19.4,0,0.0,6,19.4,448
"Cromwell School District","=""0330011""","Math","N",119,118,99.2,118,9,7.6,37,31.4,54,45.8,18,15.3,72,61.0,549
"Danbury School District","=""0340011""","ELA","Y",343,328,95.6,328,134,40.9,81,24.7,104,31.7,9,2.7,113,34.5,446
"Danbury School District","=""0340011""","ELA","N",352,346,98.3,346,25,7.2,51,14.7,209,60.4,61,17.6,270,78.0,540
"Danbury School District","=""0340011""","Math","Y",343,328,95.6,326,156,47.9,130,39.9,"*","*","*","*",40,12.3,428
"Danbury School District","=""0340011""","Math","N",352,346,98.3,344,"*","*",173,50.3,103,29.9,"*","*","*","*",502
"Darien School District","=""0350011""","ELA","Y",55,50,90.9,50,"*","*","*","*",34,68.0,6,12.0,40,80.0,540
"Darien School District","=""0350011""","ELA","N",284,275,96.8,275,"*","*","*","*",96,34.9,172,62.5,268,97.5,643
"Darien School District","=""0350011""","Math","Y",55,50,90.9,49,"*","*",16,32.7,23,46.9,"*","*","*","*",540
"Darien School District","=""0350011""","Math","N",284,275,96.8,275,"*","*","*","*",96,34.9,152,55.3,248,90.2,650
"Derby School District","=""0370011""","ELA","Y",45,44,97.8,44,"*","*",9,20.5,15,34.1,"*","*","*","*",442
"Derby School District","=""0370011""","ELA","N",38,38,100.0,38,"*","*",6,15.8,18,47.4,"*","*","*","*",539
"Derby School District","=""0370011""","Math","Y",45,44,97.8,44,"*","*",16,36.4,"*","*","*","*","*","*",425
"Derby School District","=""0370011""","Math","N",38,38,100.0,37,"*","*",15,40.5,"*","*","*","*","*","*",523
"East Granby School District","=""0400011""","ELA","Y",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","ELA","N",52,"*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","Math","Y",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","Math","N",52,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","ELA","Y",19,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","ELA","N",64,63,98.4,63,"*","*","*","*","*","*","*","*","*","*",541
"East Haddam School District","=""0410011""","Math","Y",19,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Math","N",64,63,98.4,63,"*","*","*","*","*","*","*","*","*","*",491
"East Hampton School District","=""0420011""","ELA","Y",26,25,96.2,25,"*","*","*","*",12,48.0,0,0.0,12,48.0,480
"East Hampton School District","=""0420011""","ELA","N",81,81,100.0,81,"*","*","*","*",50,61.7,20,24.7,70,86.4,573
"East Hampton School District","=""0420011""","Math","Y",26,25,96.2,25,"*","*",10,40.0,"*","*",0,0.0,"*","*",440
"East Hampton School District","=""0420011""","Math","N",81,81,100.0,81,"*","*",36,44.4,"*","*",13,16.0,"*","*",540
"East Hartford School District","=""0430011""","ELA","Y",282,256,90.8,256,123,48.0,65,25.4,55,21.5,13,5.1,68,26.6,435
"East Hartford School District","=""0430011""","ELA","N",188,186,98.9,186,25,13.4,45,24.2,93,50.0,23,12.4,116,62.4,514
"East Hartford School District","=""0430011""","Math","Y",282,256,90.8,247,121,49.0,82,33.2,37,15.0,7,2.8,44,17.8,432
"East Hartford School District","=""0430011""","Math","N",188,186,98.9,186,38,20.4,84,45.2,49,26.3,15,8.1,64,34.4,492
"East Haven School District","=""0440011""","ELA","Y",115,107,93.0,107,"*","*",31,29.0,42,39.3,"*","*","*","*",469
"East Haven School District","=""0440011""","ELA","N",113,110,97.3,110,"*","*",26,23.6,64,58.2,"*","*","*","*",504
"East Haven School District","=""0440011""","Math","Y",115,107,93.0,107,35,32.7,59,55.1,13,12.1,0,0.0,13,12.1,442
"East Haven School District","=""0440011""","Math","N",113,110,97.3,110,"*","*",66,60.0,25,22.7,"*","*","*","*",480
"East Lyme School District","=""0450011""","ELA","Y",52,49,94.2,49,"*","*",12,24.5,21,42.9,"*","*","*","*",498
"East Lyme School District","=""0450011""","ELA","N",229,225,98.3,225,"*","*",9,4.0,131,58.2,"*","*","*","*",594
"East Lyme School District","=""0450011""","Math","Y",52,49,94.2,49,18,36.7,20,40.8,"*","*","*","*",11,22.4,462
"East Lyme School District","=""0450011""","Math","N",229,225,98.3,225,"*","*",74,32.9,83,36.9,"*","*","*","*",574
"East Windsor School District","=""0470011""","ELA","Y",38,37,97.4,37,11,29.7,"*","*",14,37.8,"*","*","*","*",479
"East Windsor School District","=""0470011""","ELA","N",51,50,98.0,50,0,0.0,"*","*",38,76.0,"*","*","*","*",534
"East Windsor School District","=""0470011""","Math","Y",38,37,97.4,37,"*","*",12,32.4,6,16.2,"*","*","*","*",444
"East Windsor School District","=""0470011""","Math","N",51,50,98.0,50,"*","*",22,44.0,24,48.0,"*","*","*","*",520
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","Y",45,40,88.9,40,"*","*",9,22.5,14,35.0,"*","*","*","*",453
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","N",37,35,94.6,35,"*","*",9,25.7,19,54.3,"*","*","*","*",495
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","Y",45,40,88.9,40,21,52.5,"*","*","*","*",0,0.0,"*","*",409
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","N",37,35,94.6,35,11,31.4,21,60.0,"*","*","*","*","*","*",451
"EdAdvance","=""2420014""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"EdAdvance","=""2420014""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","Y",31,30,96.8,30,"*","*",9,30.0,11,36.7,"*","*","*","*",484
"Ellington School District","=""0480011""","ELA","N",144,144,100.0,144,"*","*",17,11.8,97,67.4,"*","*","*","*",554
"Ellington School District","=""0480011""","Math","Y",31,30,96.8,30,"*","*",15,50.0,"*","*",0,0.0,"*","*",462
"Ellington School District","=""0480011""","Math","N",144,144,100.0,143,"*","*",58,40.6,64,44.8,"*","*","*","*",546
"Elm City College Preparatory School District","=""2890013""","ELA","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","ELA","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Math","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Math","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","ELA","Y",103,101,98.1,101,"*","*",27,26.7,43,42.6,"*","*","*","*",477
"Enfield School District","=""0490011""","ELA","N",247,241,97.6,241,"*","*",38,15.8,167,69.3,"*","*","*","*",531
"Enfield School District","=""0490011""","Math","Y",103,101,98.1,101,"*","*",49,48.5,25,24.8,"*","*","*","*",468
"Enfield School District","=""0490011""","Math","N",247,241,97.6,241,"*","*",121,50.2,82,34.0,"*","*","*","*",515
"Explorations District","=""2720013""","ELA","Y",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","ELA","N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Math","Y",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Math","N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","ELA","Y",161,154,95.7,154,36,23.4,39,25.3,65,42.2,14,9.1,79,51.3,491
"Fairfield School District","=""0510011""","ELA","N",617,605,98.1,605,7,1.2,28,4.6,315,52.1,255,42.1,570,94.2,601
"Fairfield School District","=""0510011""","Math","Y",161,154,95.7,154,37,24.0,81,52.6,"*","*","*","*",36,23.4,470
"Fairfield School District","=""0510011""","Math","N",617,605,98.1,605,"*","*",155,25.6,296,48.9,"*","*","*","*",580
"Farmington School District","=""0520011""","ELA","Y",62,60,96.8,60,"*","*",14,23.3,31,51.7,"*","*","*","*",509
"Farmington School District","=""0520011""","ELA","N",228,227,99.6,227,"*","*","*","*",123,54.2,91,40.1,214,94.3,607
"Farmington School District","=""0520011""","Math","Y",62,60,96.8,60,"*","*",25,41.7,17,28.3,"*","*","*","*",489
"Farmington School District","=""0520011""","Math","N",228,227,99.6,226,"*","*",52,23.0,95,42.0,"*","*","*","*",600
"Glastonbury School District","=""0540011""","ELA","Y",77,73,94.8,73,"*","*",25,34.2,26,35.6,"*","*","*","*",471
"Glastonbury School District","=""0540011""","ELA","N",413,407,98.5,407,"*","*",22,5.4,206,50.6,"*","*","*","*",604
"Glastonbury School District","=""0540011""","Math","Y",77,73,94.8,71,19,26.8,34,47.9,"*","*","*","*",18,25.4,474
"Glastonbury School District","=""0540011""","Math","N",413,407,98.5,407,"*","*",61,15.0,183,45.0,"*","*","*","*",616
"Granby School District","=""0560011""","ELA","Y",25,22,88.0,22,"*","*","*","*",11,50.0,"*","*","*","*",487
"Granby School District","=""0560011""","ELA","N",131,130,99.2,130,"*","*","*","*",70,53.8,"*","*","*","*",602
"Granby School District","=""0560011""","Math","Y",25,22,88.0,22,"*","*",8,36.4,"*","*","*","*","*","*",447
"Granby School District","=""0560011""","Math","N",131,130,99.2,130,"*","*",26,20.0,"*","*","*","*","*","*",592
"Greenwich School District","=""0570011""","ELA","Y",153,145,94.8,145,35,24.1,32,22.1,68,46.9,10,6.9,78,53.8,485
"Greenwich School District","=""0570011""","ELA","N",464,453,97.6,453,6,1.3,19,4.2,201,44.4,227,50.1,428,94.5,618
"Greenwich School District","=""0570011""","Math","Y",153,145,94.8,145,42,29.0,77,53.1,"*","*","*","*",26,17.9,463
"Greenwich School District","=""0570011""","Math","N",464,453,97.6,452,"*","*",94,20.8,180,39.8,"*","*","*","*",605
"Griswold School District","=""0580011""","ELA","Y",44,38,86.4,38,11,28.9,10,26.3,17,44.7,0,0.0,17,44.7,469
"Griswold School District","=""0580011""","ELA","N",102,101,99.0,101,6,5.9,16,15.8,64,63.4,15,14.9,79,78.2,539
"Griswold School District","=""0580011""","Math","Y",44,38,86.4,38,13,34.2,19,50.0,6,15.8,0,0.0,6,15.8,446
"Griswold School District","=""0580011""","Math","N",102,101,99.0,101,"*","*",47,46.5,43,42.6,"*","*","*","*",513
"Groton School District","=""0590011""","ELA","Y",83,79,95.2,79,36,45.6,"*","*",25,31.6,"*","*","*","*",441
"Groton School District","=""0590011""","ELA","N",154,149,96.8,149,"*","*",18,12.1,85,57.0,"*","*","*","*",559
"Groton School District","=""0590011""","Math","Y",83,79,95.2,77,35,45.5,30,39.0,"*","*","*","*",12,15.6,439
"Groton School District","=""0590011""","Math","N",154,149,96.8,149,"*","*",63,42.3,53,35.6,"*","*","*","*",534
"Guilford School District","=""0600011""","ELA","Y",42,42,100.0,42,"*","*",11,26.2,13,31.0,"*","*","*","*",490
"Guilford School District","=""0600011""","ELA","N",244,244,100.0,244,"*","*",19,7.8,142,58.2,"*","*","*","*",598
"Guilford School District","=""0600011""","Math","Y",42,42,100.0,42,19,45.2,13,31.0,"*","*","*","*",10,23.8,460
"Guilford School District","=""0600011""","Math","N",244,244,100.0,243,10,4.1,63,25.9,"*","*","*","*",170,70.0,578
"Hamden School District","=""0620011""","ELA","Y",189,183,96.8,183,76,41.5,"*","*",61,33.3,"*","*","*","*",446
"Hamden School District","=""0620011""","ELA","N",208,206,99.0,206,"*","*",29,14.1,128,62.1,"*","*","*","*",543
"Hamden School District","=""0620011""","Math","Y",189,183,96.8,182,80,44.0,78,42.9,"*","*","*","*",24,13.2,432
"Hamden School District","=""0620011""","Math","N",208,206,99.0,205,"*","*",100,48.8,75,36.6,"*","*","*","*",513
"Hartford School District","=""0640011""","ELA","Y",958,829,86.5,829,407,49.1,214,25.8,190,22.9,18,2.2,208,25.1,428
"Hartford School District","=""0640011""","ELA","N",293,285,97.3,285,48,16.8,47,16.5,133,46.7,57,20.0,190,66.7,523
"Hartford School District","=""0640011""","Math","Y",958,829,86.5,818,461,56.4,288,35.2,"*","*","*","*",69,8.4,410
"Hartford School District","=""0640011""","Math","N",293,285,97.3,283,71,25.1,112,39.6,"*","*","*","*",100,35.3,495
"Highville Charter School District","=""2860013""","ELA","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","ELA","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Math","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Math","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","ELA","N",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Math","N",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","ELA","Y",84,78,92.9,78,30,38.5,"*","*",24,30.8,"*","*","*","*",451
"Killingly School District","=""0690011""","ELA","N",101,100,99.0,100,"*","*",17,17.0,63,63.0,"*","*","*","*",525
"Killingly School District","=""0690011""","Math","Y",84,78,92.9,78,35,44.9,37,47.4,"*","*","*","*",6,7.7,424
"Killingly School District","=""0690011""","Math","N",101,100,99.0,100,"*","*",50,50.0,"*","*",0,0.0,"*","*",484
"Learn","=""2450014""","ELA","Y",110,106,96.4,106,46,43.4,26,24.5,24,22.6,10,9.4,34,32.1,453
"Learn","=""2450014""","ELA","N",85,85,100.0,85,7,8.2,13,15.3,42,49.4,23,27.1,65,76.5,555
"Learn","=""2450014""","Math","Y",110,106,96.4,105,48,45.7,44,41.9,"*","*","*","*",13,12.4,428
"Learn","=""2450014""","Math","N",85,85,100.0,85,"*","*",34,40.0,32,37.6,"*","*","*","*",521
"Lebanon School District","=""0710011""","ELA","Y",24,23,95.8,23,"*","*","*","*",7,30.4,"*","*","*","*",447
"Lebanon School District","=""0710011""","ELA","N",65,65,100.0,65,"*","*","*","*",34,52.3,"*","*","*","*",556
"Lebanon School District","=""0710011""","Math","Y",24,23,95.8,23,"*","*",11,47.8,"*","*",0,0.0,"*","*",447
"Lebanon School District","=""0710011""","Math","N",65,65,100.0,65,"*","*",20,30.8,"*","*",7,10.8,"*","*",532
"Ledyard School District","=""0720011""","ELA","Y",74,74,100.0,74,"*","*",23,31.1,25,33.8,"*","*","*","*",487
"Ledyard School District","=""0720011""","ELA","N",121,120,99.2,120,"*","*","*","*",74,61.7,28,23.3,102,85.0,569
"Ledyard School District","=""0720011""","Math","Y",74,74,100.0,74,27,36.5,32,43.2,"*","*","*","*",15,20.3,458
"Ledyard School District","=""0720011""","Math","N",121,120,99.2,120,"*","*",45,37.5,48,40.0,"*","*","*","*",545
"Litchfield School District","=""0740011""","ELA","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","ELA","N",53,53,100.0,53,"*","*","*","*","*","*","*","*","*","*",568
"Litchfield School District","=""0740011""","Math","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","Math","N",53,53,100.0,53,0,0.0,"*","*","*","*","*","*","*","*",561
"Madison School District","=""0760011""","ELA","Y",48,43,89.6,43,"*","*",11,25.6,19,44.2,"*","*","*","*",505
"Madison School District","=""0760011""","ELA","N",248,247,99.6,247,"*","*","*","*",143,57.9,95,38.5,238,96.4,606
"Madison School District","=""0760011""","Math","Y",48,43,89.6,42,"*","*",25,59.5,8,19.0,"*","*","*","*",500
