"CT School Day SAT, 2016-17"
"All Districts, All Subjects, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","Y",39,39,100.0,39,"*","*",10,25.6,22,56.4,"*","*","*","*",488
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","Y",39,39,100.0,38,"*","*",20,52.6,13,34.2,"*","*","*","*",494
"Amistad Academy District","=""2790013""","ELA","Y",30,29,96.7,28,"*","*","*","*","*","*",0,0.0,"*","*",500
"Amistad Academy District","=""2790013""","ELA","N",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Math","Y",30,29,96.7,28,"*","*","*","*","*","*",0,0.0,"*","*",466
"Amistad Academy District","=""2790013""","Math","N",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","Y",94,87,92.6,87,"*","*",17,19.5,33,37.9,"*","*","*","*",451
"Ansonia School District","=""0020011""","ELA","N",40,40,100.0,40,"*","*",9,22.5,19,47.5,"*","*","*","*",536
"Ansonia School District","=""0020011""","Math","Y",94,87,92.6,86,47,54.7,32,37.2,"*","*","*","*",7,8.1,422
"Ansonia School District","=""0020011""","Math","N",40,40,100.0,40,"*","*",16,40.0,10,25.0,"*","*","*","*",490
"Area Cooperative Educational Services","=""2440014""","ELA","Y",18,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Math","Y",18,15,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
