"CT School Day SAT, 2015-16"
"All Districts, All Subjects, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Brookfield School District","=""0180011""","Math","N",186,182,97.8,182,"*","*",60,33.0,90,49.5,"*","*","*","*",560
"Brooklyn School District","=""0190011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA","Y",25,25,100.0,25,"*","*","*","*",13,52.0,"*","*","*","*",503
"Canton School District","=""0230011""","ELA","N",92,91,98.9,91,"*","*","*","*",50,54.9,"*","*","*","*",590
"Canton School District","=""0230011""","Math","Y",25,25,100.0,25,"*","*",8,32.0,6,24.0,"*","*","*","*",462
"Canton School District","=""0230011""","Math","N",92,91,98.9,91,"*","*",28,30.8,42,46.2,"*","*","*","*",568
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","N",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","N",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","ELA","Y",295,264,89.5,264,80,30.3,80,30.3,91,34.5,13,4.9,104,39.4,461
"Capitol Region Education Council","=""2410014""","ELA","N",231,223,96.5,223,16,7.2,37,16.6,98,43.9,72,32.3,170,76.2,559
"Capitol Region Education Council","=""2410014""","Math","Y",295,264,89.5,264,121,45.8,116,43.9,"*","*","*","*",27,10.2,428
"Capitol Region Education Council","=""2410014""","Math","N",231,223,96.5,223,"*","*",97,43.5,63,28.3,"*","*","*","*",517
"Cheshire School District","=""0250011""","ELA","Y",72,59,81.9,59,"*","*",12,20.3,30,50.8,"*","*","*","*",478
"Cheshire School District","=""0250011""","ELA","N",319,315,98.7,315,"*","*",24,7.6,189,60.0,"*","*","*","*",584
"Cheshire School District","=""0250011""","Math","Y",72,59,81.9,59,20,33.9,25,42.4,"*","*","*","*",14,23.7,463
"Cheshire School District","=""0250011""","Math","N",319,315,98.7,315,"*","*",82,26.0,142,45.1,"*","*","*","*",581
"Clinton School District","=""0270011""","ELA","Y",28,26,92.9,26,"*","*",8,30.8,10,38.5,"*","*","*","*",463
"Clinton School District","=""0270011""","ELA","N",101,99,98.0,99,"*","*",15,15.2,58,58.6,"*","*","*","*",554
