"CT School Day SAT, 2015-16"
"All Districts, All Subjects, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Lebanon School District","=""0710011""","ELA","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","ELA","N",72,72,100.0,72,"*","*","*","*","*","*","*","*","*","*",559
"Lebanon School District","=""0710011""","Math","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","Math","N",72,72,100.0,72,"*","*","*","*","*","*","*","*","*","*",553
"Ledyard School District","=""0720011""","ELA","Y",75,68,90.7,68,"*","*",23,33.8,26,38.2,"*","*","*","*",475
"Ledyard School District","=""0720011""","ELA","N",134,131,97.8,131,"*","*",15,11.5,75,57.3,"*","*","*","*",554
"Ledyard School District","=""0720011""","Math","Y",75,68,90.7,68,22,32.4,33,48.5,"*","*","*","*",13,19.1,461
"Ledyard School District","=""0720011""","Math","N",134,131,97.8,131,"*","*",52,39.7,46,35.1,"*","*","*","*",544
"Litchfield School District","=""0740011""","ELA","Y",18,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","ELA","N",60,60,100.0,60,"*","*","*","*","*","*","*","*","*","*",557
"Litchfield School District","=""0740011""","Math","Y",18,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","Math","N",60,60,100.0,60,"*","*","*","*","*","*","*","*","*","*",550
"Madison School District","=""0760011""","ELA","Y",45,41,91.1,41,"*","*","*","*",19,46.3,6,14.6,25,61.0,509
"Madison School District","=""0760011""","ELA","N",258,255,98.8,255,"*","*","*","*",146,57.3,105,41.2,251,98.4,612
"Madison School District","=""0760011""","Math","Y",45,41,91.1,41,"*","*",14,34.1,9,22.0,"*","*","*","*",480
"Madison School District","=""0760011""","Math","N",258,255,98.8,255,"*","*",60,23.5,124,48.6,"*","*","*","*",594
"Manchester School District","=""0770011""","ELA","Y",232,191,82.3,191,84,44.0,"*","*",65,34.0,"*","*","*","*",442
"Manchester School District","=""0770011""","ELA","N",169,161,95.3,161,"*","*",32,19.9,88,54.7,"*","*","*","*",522
"Manchester School District","=""0770011""","Math","Y",232,191,82.3,191,97,50.8,76,39.8,"*","*","*","*",18,9.4,421
"Manchester School District","=""0770011""","Math","N",169,161,95.3,161,"*","*",79,49.1,43,26.7,"*","*","*","*",493
"Meriden School District","=""0800011""","ELA","Y",342,312,91.2,312,155,49.7,81,26.0,"*","*","*","*",76,24.4,428
"Meriden School District","=""0800011""","ELA","N",168,167,99.4,166,"*","*",29,17.5,93,56.0,"*","*","*","*",525
"Meriden School District","=""0800011""","Math","Y",342,312,91.2,311,197,63.3,95,30.5,19,6.1,0,0.0,19,6.1,396
"Meriden School District","=""0800011""","Math","N",168,167,99.4,166,49,29.5,71,42.8,"*","*","*","*",46,27.7,473
"Middletown School District","=""0830011""","ELA","Y",149,133,89.3,133,48,36.1,34,25.6,43,32.3,8,6.0,51,38.3,457
"Middletown School District","=""0830011""","ELA","N",155,152,98.1,152,22,14.5,27,17.8,84,55.3,19,12.5,103,67.8,522
"Middletown School District","=""0830011""","Math","Y",149,133,89.3,131,58,44.3,55,42.0,"*","*","*","*",18,13.7,433
"Middletown School District","=""0830011""","Math","N",155,152,98.1,152,"*","*",67,44.1,49,32.2,"*","*","*","*",494
"Milford School District","=""0840011""","ELA","Y",131,112,85.5,112,"*","*",30,26.8,52,46.4,"*","*","*","*",474
"Milford School District","=""0840011""","ELA","N",354,340,96.0,340,"*","*",44,12.9,228,67.1,"*","*","*","*",552
"Milford School District","=""0840011""","Math","Y",131,112,85.5,111,41,36.9,49,44.1,"*","*","*","*",21,18.9,451
"Milford School District","=""0840011""","Math","N",354,340,96.0,340,"*","*",172,50.6,119,35.0,"*","*","*","*",519
"Monroe School District","=""0850011""","ELA","Y",58,51,87.9,51,"*","*",8,15.7,24,47.1,"*","*","*","*",476
"Monroe School District","=""0850011""","ELA","N",221,219,99.1,219,"*","*",21,9.6,122,55.7,"*","*","*","*",581
"Monroe School District","=""0850011""","Math","Y",58,51,87.9,50,16,32.0,20,40.0,"*","*","*","*",14,28.0,467
"Monroe School District","=""0850011""","Math","N",221,219,99.1,219,"*","*",58,26.5,110,50.2,"*","*","*","*",571
"Montville School District","=""0860011""","ELA","Y",60,54,90.0,53,"*","*",13,24.5,23,43.4,"*","*","*","*",464
"Montville School District","=""0860011""","ELA","N",84,83,98.8,83,"*","*",10,12.0,57,68.7,"*","*","*","*",547
"Montville School District","=""0860011""","Math","Y",60,54,90.0,52,16,30.8,24,46.2,12,23.1,0,0.0,12,23.1,459
"Montville School District","=""0860011""","Math","N",84,83,98.8,83,9,10.8,35,42.2,32,38.6,7,8.4,39,47.0,526
"Naugatuck School District","=""0880011""","ELA","Y",176,163,92.6,163,71,43.6,"*","*",47,28.8,"*","*","*","*",437
"Naugatuck School District","=""0880011""","ELA","N",136,128,94.1,128,"*","*",28,21.9,80,62.5,"*","*","*","*",519
"Naugatuck School District","=""0880011""","Math","Y",176,163,92.6,161,86,53.4,61,37.9,"*","*","*","*",14,8.7,415
"Naugatuck School District","=""0880011""","Math","N",136,128,94.1,127,"*","*",57,44.9,41,32.3,"*","*","*","*",489
"New Britain School District","=""0890011""","ELA","Y",415,347,83.6,347,214,61.7,77,22.2,"*","*","*","*",56,16.1,407
"New Britain School District","=""0890011""","ELA","N",131,124,94.7,124,35,28.2,"*","*",54,43.5,"*","*","*","*",482
"New Britain School District","=""0890011""","Math","Y",415,347,83.6,347,223,64.3,107,30.8,"*","*","*","*",17,4.9,400
"New Britain School District","=""0890011""","Math","N",131,124,94.7,124,33,26.6,55,44.4,"*","*","*","*",36,29.0,478
"New Canaan School District","=""0900011""","ELA","Y",30,28,93.3,28,"*","*","*","*",19,67.9,"*","*","*","*",504
"New Canaan School District","=""0900011""","ELA","N",298,291,97.7,291,"*","*","*","*",151,51.9,"*","*","*","*",617
"New Canaan School District","=""0900011""","Math","Y",30,28,93.3,28,"*","*",10,35.7,10,35.7,"*","*","*","*",504
"New Canaan School District","=""0900011""","Math","N",298,291,97.7,291,"*","*",33,11.3,141,48.5,"*","*","*","*",620
"New Fairfield School District","=""0910011""","ELA","Y",34,34,100.0,34,"*","*","*","*",15,44.1,"*","*","*","*",493
"New Fairfield School District","=""0910011""","ELA","N",193,193,100.0,193,"*","*","*","*",115,59.6,"*","*","*","*",577
"New Fairfield School District","=""0910011""","Math","Y",34,34,100.0,34,15,44.1,10,29.4,"*","*","*","*",9,26.5,448
"New Fairfield School District","=""0910011""","Math","N",193,193,100.0,193,"*","*",82,42.5,76,39.4,"*","*","*","*",536
"New Haven School District","=""0930011""","ELA","Y",868,734,84.6,733,356,48.6,169,23.1,193,26.3,15,2.0,208,28.4,430
"New Haven School District","=""0930011""","ELA","N",445,413,92.8,412,88,21.4,84,20.4,196,47.6,44,10.7,240,58.3,498
"New Haven School District","=""0930011""","Math","Y",868,734,84.6,733,398,54.3,282,38.5,47,6.4,6,0.8,53,7.2,412
"New Haven School District","=""0930011""","Math","N",445,413,92.8,412,119,28.9,193,46.8,79,19.2,21,5.1,100,24.3,467
"New London School District","=""0950011""","ELA","Y",143,122,85.3,122,"*","*",34,27.9,23,18.9,"*","*","*","*",419
"New London School District","=""0950011""","ELA","N",49,48,98.0,48,"*","*",10,20.8,23,47.9,"*","*","*","*",538
"New London School District","=""0950011""","Math","Y",143,122,85.3,122,68,55.7,40,32.8,"*","*","*","*",14,11.5,416
"New London School District","=""0950011""","Math","N",49,48,98.0,48,"*","*",15,31.3,18,37.5,"*","*","*","*",516
"New Milford School District","=""0960011""","ELA","Y",84,80,95.2,80,22,27.5,19,23.8,31,38.8,8,10.0,39,48.8,481
"New Milford School District","=""0960011""","ELA","N",227,222,97.8,222,7,3.2,28,12.6,142,64.0,45,20.3,187,84.2,559
"New Milford School District","=""0960011""","Math","Y",84,80,95.2,80,27,33.8,33,41.3,"*","*","*","*",20,25.0,462
"New Milford School District","=""0960011""","Math","N",227,222,97.8,222,"*","*",93,41.9,87,39.2,"*","*","*","*",548
"Newington School District","=""0940011""","ELA","Y",79,73,92.4,73,"*","*",28,38.4,22,30.1,"*","*","*","*",467
"Newington School District","=""0940011""","ELA","N",229,227,99.1,227,"*","*",26,11.5,141,62.1,"*","*","*","*",557
"Newington School District","=""0940011""","Math","Y",79,73,92.4,73,26,35.6,32,43.8,15,20.5,0,0.0,15,20.5,453
"Newington School District","=""0940011""","Math","N",229,227,99.1,227,10,4.4,93,41.0,96,42.3,28,12.3,124,54.6,544
"Newtown School District","=""0970011""","ELA","Y",64,53,82.8,53,7,13.2,9,17.0,31,58.5,6,11.3,37,69.8,512
"Newtown School District","=""0970011""","ELA","N",360,350,97.2,350,7,2.0,23,6.6,205,58.6,115,32.9,320,91.4,587
"Newtown School District","=""0970011""","Math","Y",64,53,82.8,53,"*","*",18,34.0,17,32.1,"*","*","*","*",488
"Newtown School District","=""0970011""","Math","N",360,350,97.2,350,"*","*",96,27.4,171,48.9,"*","*","*","*",574
"North Branford School District","=""0990011""","ELA","Y",49,48,98.0,48,"*","*",15,31.3,"*","*",0,0.0,"*","*",436
"North Branford School District","=""0990011""","ELA","N",106,106,100.0,106,"*","*","*","*",66,62.3,20,18.9,86,81.1,544
"North Branford School District","=""0990011""","Math","Y",49,48,98.0,47,28,59.6,13,27.7,"*","*","*","*",6,12.8,424
"North Branford School District","=""0990011""","Math","N",106,106,100.0,106,8,7.5,51,48.1,"*","*","*","*",47,44.3,524
"North Haven School District","=""1010011""","ELA","Y",44,40,90.9,40,"*","*",10,25.0,21,52.5,"*","*","*","*",494
"North Haven School District","=""1010011""","ELA","N",205,205,100.0,205,"*","*",26,12.7,123,60.0,"*","*","*","*",551
"North Haven School District","=""1010011""","Math","Y",44,40,90.9,40,12,30.0,18,45.0,"*","*","*","*",10,25.0,461
"North Haven School District","=""1010011""","Math","N",205,205,100.0,205,"*","*",79,38.5,78,38.0,"*","*","*","*",517
"North Stonington School District","=""1020011""","ELA","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","ELA","N",47,46,97.9,46,"*","*","*","*","*","*","*","*","*","*",561
"North Stonington School District","=""1020011""","Math","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","Math","N",47,46,97.9,46,"*","*","*","*","*","*","*","*","*","*",553
"Norwalk School District","=""1030011""","ELA","Y",426,368,86.4,368,139,37.8,93,25.3,127,34.5,9,2.4,136,37.0,451
"Norwalk School District","=""1030011""","ELA","N",406,384,94.6,384,16,4.2,62,16.1,240,62.5,66,17.2,306,79.7,546
"Norwalk School District","=""1030011""","Math","Y",426,368,86.4,368,146,39.7,165,44.8,51,13.9,6,1.6,57,15.5,441
"Norwalk School District","=""1030011""","Math","N",406,384,94.6,384,42,10.9,180,46.9,120,31.3,42,10.9,162,42.2,521
"Norwich Free Academy District","=""9010022""","ELA","Y",294,274,93.2,274,109,39.8,56,20.4,89,32.5,20,7.3,109,39.8,457
"Norwich Free Academy District","=""9010022""","ELA","N",299,296,99.0,296,16,5.4,34,11.5,169,57.1,77,26.0,246,83.1,561
"Norwich Free Academy District","=""9010022""","Math","Y",294,274,93.2,273,124,45.4,102,37.4,38,13.9,9,3.3,47,17.2,437
"Norwich Free Academy District","=""9010022""","Math","N",299,296,99.0,296,30,10.1,122,41.2,106,35.8,38,12.8,144,48.6,529
"Norwich School District","=""1040011""","ELA","Y",9,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","Math","Y",9,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","ELA","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","ELA","N",78,77,98.7,77,"*","*","*","*","*","*","*","*","*","*",570
"Old Saybrook School District","=""1060011""","Math","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","Math","N",78,77,98.7,77,"*","*","*","*","*","*","*","*","*","*",550
"Oxford School District","=""1080011""","ELA","Y",25,21,84.0,21,"*","*",7,33.3,8,38.1,"*","*","*","*",465
"Oxford School District","=""1080011""","ELA","N",146,146,100.0,146,"*","*",15,10.3,92,63.0,"*","*","*","*",565
"Oxford School District","=""1080011""","Math","Y",25,21,84.0,21,"*","*",13,61.9,"*","*",0,0.0,"*","*",448
"Oxford School District","=""1080011""","Math","N",146,146,100.0,146,"*","*",69,47.3,"*","*",19,13.0,"*","*",527
"Path Academy District","=""2930013""","ELA","Y",23,6,26.1,6,"*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","Math","Y",23,6,26.1,6,"*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","ELA","Y",80,69,86.3,67,"*","*",15,22.4,35,52.2,"*","*","*","*",481
"Plainfield School District","=""1090011""","ELA","N",80,80,100.0,79,"*","*",18,22.8,42,53.2,"*","*","*","*",531
"Plainfield School District","=""1090011""","Math","Y",80,69,86.3,67,25,37.3,28,41.8,14,20.9,0,0.0,14,20.9,449
"Plainfield School District","=""1090011""","Math","N",80,80,100.0,79,"*","*",47,59.5,19,24.1,"*","*","*","*",502
"Plainville School District","=""1100011""","ELA","Y",64,64,100.0,64,"*","*",19,29.7,27,42.2,"*","*","*","*",461
"Plainville School District","=""1100011""","ELA","N",118,117,99.2,117,"*","*",24,20.5,65,55.6,"*","*","*","*",533
"Plainville School District","=""1100011""","Math","Y",64,64,100.0,64,28,43.8,20,31.3,"*","*","*","*",16,25.0,454
"Plainville School District","=""1100011""","Math","N",118,117,99.2,117,"*","*",53,45.3,41,35.0,"*","*","*","*",518
"Plymouth School District","=""1110011""","ELA","Y",44,38,86.4,38,15,39.5,9,23.7,14,36.8,0,0.0,14,36.8,450
"Plymouth School District","=""1110011""","ELA","N",75,73,97.3,73,6,8.2,17,23.3,43,58.9,7,9.6,50,68.5,519
"Plymouth School District","=""1110011""","Math","Y",44,38,86.4,38,20,52.6,"*","*","*","*",0,0.0,"*","*",413
"Plymouth School District","=""1110011""","Math","N",75,73,97.3,73,8,11.0,34,46.6,"*","*","*","*","*","*",511
"Portland School District","=""1130011""","ELA","Y",20,18,90.0,18,"*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","ELA","N",75,74,98.7,74,"*","*","*","*","*","*","*","*","*","*",585
"Portland School District","=""1130011""","Math","Y",20,18,90.0,18,"*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","Math","N",75,74,98.7,74,"*","*","*","*","*","*","*","*","*","*",565
"Putnam School District","=""1160011""","ELA","Y",38,34,89.5,33,"*","*","*","*",11,33.3,0,0.0,11,33.3,447
"Putnam School District","=""1160011""","ELA","N",22,22,100.0,22,"*","*","*","*",14,63.6,"*","*","*","*",528
"Putnam School District","=""1160011""","Math","Y",38,34,89.5,33,"*","*",11,33.3,"*","*","*","*","*","*",420
"Putnam School District","=""1160011""","Math","N",22,22,100.0,22,"*","*",14,63.6,"*","*","*","*","*","*",488
"Regional School District 01","=""2010012""","ELA","Y",31,28,90.3,28,"*","*","*","*",12,42.9,"*","*","*","*",464
"Regional School District 01","=""2010012""","ELA","N",79,79,100.0,79,"*","*","*","*",45,57.0,"*","*","*","*",563
"Regional School District 01","=""2010012""","Math","Y",31,28,90.3,28,"*","*",11,39.3,"*","*",0,0.0,"*","*",434
"Regional School District 01","=""2010012""","Math","N",79,79,100.0,79,"*","*",35,44.3,"*","*","*","*","*","*",527
"Regional School District 04","=""2040012""","ELA","Y",22,22,100.0,22,"*","*","*","*",9,40.9,0,0.0,9,40.9,462
"Regional School District 04","=""2040012""","ELA","N",124,122,98.4,122,"*","*","*","*",57,46.7,48,39.3,105,86.1,587
"Regional School District 04","=""2040012""","Math","Y",22,22,100.0,22,12,54.5,"*","*","*","*",0,0.0,"*","*",412
"Regional School District 04","=""2040012""","Math","N",124,122,98.4,122,"*","*",44,36.1,"*","*",21,17.2,"*","*",545
"Regional School District 05","=""2050012""","ELA","Y",53,49,92.5,49,14,28.6,10,20.4,19,38.8,6,12.2,25,51.0,487
"Regional School District 05","=""2050012""","ELA","N",299,295,98.7,295,10,3.4,23,7.8,160,54.2,102,34.6,262,88.8,592
"Regional School District 05","=""2050012""","Math","Y",53,49,92.5,49,18,36.7,18,36.7,"*","*","*","*",13,26.5,460
"Regional School District 05","=""2050012""","Math","N",299,295,98.7,295,"*","*",75,25.4,126,42.7,"*","*","*","*",580
"Regional School District 06","=""2060012""","ELA","Y",27,27,100.0,27,"*","*",6,22.2,9,33.3,"*","*","*","*",492
"Regional School District 06","=""2060012""","ELA","N",86,86,100.0,86,"*","*",13,15.1,61,70.9,"*","*","*","*",550
"Regional School District 06","=""2060012""","Math","Y",27,27,100.0,27,12,44.4,"*","*",7,25.9,"*","*","*","*",459
"Regional School District 06","=""2060012""","Math","N",86,86,100.0,86,"*","*",38,44.2,38,44.2,"*","*","*","*",523
"Regional School District 07","=""2070012""","ELA","Y",31,27,87.1,27,10,37.0,"*","*",11,40.7,"*","*","*","*",474
"Regional School District 07","=""2070012""","ELA","N",163,160,98.2,160,6,3.8,"*","*",99,61.9,"*","*","*","*",571
"Regional School District 07","=""2070012""","Math","Y",31,27,87.1,27,10,37.0,11,40.7,6,22.2,0,0.0,6,22.2,453
"Regional School District 07","=""2070012""","Math","N",163,160,98.2,160,9,5.6,50,31.3,78,48.8,23,14.4,101,63.1,554
"Regional School District 08","=""2080012""","ELA","Y",42,39,92.9,39,"*","*",7,17.9,14,35.9,"*","*","*","*",465
"Regional School District 08","=""2080012""","ELA","N",207,204,98.6,204,"*","*",10,4.9,128,62.7,"*","*","*","*",584
"Regional School District 08","=""2080012""","Math","Y",42,39,92.9,38,"*","*",10,26.3,8,21.1,"*","*","*","*",456
"Regional School District 08","=""2080012""","Math","N",207,204,98.6,204,"*","*",58,28.4,93,45.6,"*","*","*","*",582
"Regional School District 09","=""2090012""","ELA","Y",34,31,91.2,31,"*","*",11,35.5,11,35.5,"*","*","*","*",516
"Regional School District 09","=""2090012""","ELA","N",240,232,96.7,232,"*","*","*","*",141,60.8,80,34.5,221,95.3,596
"Regional School District 09","=""2090012""","Math","Y",34,31,91.2,31,"*","*",7,22.6,10,32.3,"*","*","*","*",502
"Regional School District 09","=""2090012""","Math","N",240,232,96.7,232,"*","*",52,22.4,125,53.9,"*","*","*","*",583
"Regional School District 10","=""2100012""","ELA","Y",29,27,93.1,26,"*","*","*","*",15,57.7,"*","*","*","*",495
"Regional School District 10","=""2100012""","ELA","N",161,160,99.4,160,"*","*","*","*",105,65.6,"*","*","*","*",577
"Regional School District 10","=""2100012""","Math","Y",29,27,93.1,26,"*","*",14,53.8,"*","*",0,0.0,"*","*",457
"Regional School District 10","=""2100012""","Math","N",161,160,99.4,160,"*","*",50,31.3,"*","*",25,15.6,"*","*",565
"Regional School District 11","=""2110012""","ELA","Y",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","=""2110012""","ELA","N",31,31,100.0,31,"*","*","*","*","*","*","*","*","*","*",535
"Regional School District 11","=""2110012""","Math","Y",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","=""2110012""","Math","N",31,31,100.0,31,"*","*","*","*","*","*","*","*","*","*",515
"Regional School District 12","=""2120012""","ELA","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","ELA","N",39,38,97.4,38,0,0.0,"*","*","*","*","*","*","*","*",593
"Regional School District 12","=""2120012""","Math","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","Math","N",39,38,97.4,38,0,0.0,"*","*","*","*","*","*","*","*",575
"Regional School District 13","=""2130012""","ELA","Y",26,21,80.8,21,"*","*","*","*",8,38.1,"*","*","*","*",452
"Regional School District 13","=""2130012""","ELA","N",120,119,99.2,119,"*","*","*","*",74,62.2,"*","*","*","*",577
"Regional School District 13","=""2130012""","Math","Y",26,21,80.8,21,"*","*",7,33.3,"*","*",0,0.0,"*","*",417
"Regional School District 13","=""2130012""","Math","N",120,119,99.2,119,"*","*",46,38.7,"*","*",15,12.6,"*","*",548
"Regional School District 14","=""2140012""","ELA","Y",37,34,91.9,34,"*","*",9,26.5,16,47.1,"*","*","*","*",494
"Regional School District 14","=""2140012""","ELA","N",137,137,100.0,137,"*","*",14,10.2,86,62.8,"*","*","*","*",549
"Regional School District 14","=""2140012""","Math","Y",37,34,91.9,34,7,20.6,20,58.8,"*","*","*","*",7,20.6,477
"Regional School District 14","=""2140012""","Math","N",137,137,100.0,137,"*","*",52,38.0,58,42.3,"*","*","*","*",545
"Regional School District 15","=""2150012""","ELA","Y",53,49,92.5,49,"*","*",16,32.7,18,36.7,"*","*","*","*",466
"Regional School District 15","=""2150012""","ELA","N",261,258,98.9,258,"*","*",21,8.1,158,61.2,"*","*","*","*",583
"Regional School District 15","=""2150012""","Math","Y",53,49,92.5,49,18,36.7,21,42.9,"*","*","*","*",10,20.4,447
"Regional School District 15","=""2150012""","Math","N",261,258,98.9,258,"*","*",74,28.7,132,51.2,"*","*","*","*",569
"Regional School District 16","=""2160012""","ELA","Y",47,44,93.6,44,"*","*",14,31.8,20,45.5,"*","*","*","*",502
"Regional School District 16","=""2160012""","ELA","N",121,120,99.2,120,"*","*",14,11.7,78,65.0,"*","*","*","*",555
"Regional School District 16","=""2160012""","Math","Y",47,44,93.6,44,17,38.6,16,36.4,"*","*","*","*",11,25.0,457
"Regional School District 16","=""2160012""","Math","N",121,120,99.2,120,"*","*",50,41.7,44,36.7,"*","*","*","*",517
"Regional School District 17","=""2170012""","ELA","Y",29,26,89.7,26,"*","*","*","*",9,34.6,"*","*","*","*",475
"Regional School District 17","=""2170012""","ELA","N",121,120,99.2,120,"*","*","*","*",79,65.8,"*","*","*","*",582
"Regional School District 17","=""2170012""","Math","Y",29,26,89.7,26,"*","*",12,46.2,"*","*","*","*","*","*",438
"Regional School District 17","=""2170012""","Math","N",121,120,99.2,120,"*","*",41,34.2,"*","*","*","*","*","*",551
"Regional School District 18","=""2180012""","ELA","Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","ELA","N",104,104,100.0,104,"*","*","*","*","*","*","*","*","*","*",582
"Regional School District 18","=""2180012""","Math","Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","Math","N",104,104,100.0,104,"*","*","*","*","*","*","*","*","*","*",560
"Regional School District 19","=""2190012""","ELA","Y",78,70,89.7,70,"*","*",18,25.7,31,44.3,"*","*","*","*",505
"Regional School District 19","=""2190012""","ELA","N",204,198,97.1,198,"*","*","*","*",120,60.6,58,29.3,178,89.9,579
"Regional School District 19","=""2190012""","Math","Y",78,70,89.7,70,18,25.7,26,37.1,20,28.6,6,8.6,26,37.1,484
"Regional School District 19","=""2190012""","Math","N",204,198,97.1,198,8,4.0,72,36.4,78,39.4,40,20.2,118,59.6,567
"Ridgefield School District","=""1180011""","ELA","Y",31,26,83.9,26,"*","*",6,23.1,10,38.5,"*","*","*","*",509
"Ridgefield School District","=""1180011""","ELA","N",403,392,97.3,392,0,0.0,"*","*",175,44.6,"*","*","*","*",614
"Ridgefield School District","=""1180011""","Math","Y",31,26,83.9,26,"*","*",14,53.8,"*","*","*","*","*","*",493
"Ridgefield School District","=""1180011""","Math","N",403,392,97.3,392,"*","*",59,15.1,"*","*","*","*","*","*",611
"Rocky Hill School District","=""1190011""","ELA","Y",39,36,92.3,36,"*","*",12,33.3,13,36.1,"*","*","*","*",464
"Rocky Hill School District","=""1190011""","ELA","N",135,135,100.0,135,"*","*",19,14.1,87,64.4,"*","*","*","*",560
"Rocky Hill School District","=""1190011""","Math","Y",39,36,92.3,36,13,36.1,16,44.4,"*","*","*","*",7,19.4,450
"Rocky Hill School District","=""1190011""","Math","N",135,135,100.0,135,"*","*",43,31.9,61,45.2,"*","*","*","*",554
"Salem School District","=""1210011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Salem School District","=""1210011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""","ELA","Y",62,50,80.6,50,17,34.0,"*","*",18,36.0,"*","*","*","*",463
"Seymour School District","=""1240011""","ELA","N",104,101,97.1,101,"*","*",20,19.8,58,57.4,"*","*","*","*",522
"Seymour School District","=""1240011""","Math","Y",62,50,80.6,50,14,28.0,26,52.0,"*","*","*","*",10,20.0,465
"Seymour School District","=""1240011""","Math","N",104,101,97.1,101,"*","*",40,39.6,37,36.6,"*","*","*","*",512
"Shelton School District","=""1260011""","ELA","Y",92,87,94.6,87,"*","*",26,29.9,31,35.6,"*","*","*","*",470
"Shelton School District","=""1260011""","ELA","N",289,284,98.3,284,"*","*",33,11.6,183,64.4,"*","*","*","*",561
"Shelton School District","=""1260011""","Math","Y",92,87,94.6,87,33,37.9,32,36.8,"*","*","*","*",22,25.3,457
"Shelton School District","=""1260011""","Math","N",289,284,98.3,284,"*","*",87,30.6,144,50.7,"*","*","*","*",545
"Sherman School District","=""1270011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Sherman School District","=""1270011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Simsbury School District","=""1280011""","ELA","Y",68,64,94.1,64,"*","*",13,20.3,29,45.3,"*","*","*","*",511
"Simsbury School District","=""1280011""","ELA","N",299,297,99.3,297,"*","*","*","*",148,49.8,131,44.1,279,93.9,605
"Simsbury School District","=""1280011""","Math","Y",68,64,94.1,64,14,21.9,22,34.4,22,34.4,6,9.4,28,43.8,506
"Simsbury School District","=""1280011""","Math","N",299,297,99.3,297,8,2.7,55,18.5,126,42.4,108,36.4,234,78.8,606
"Somers School District","=""1290011""","ELA","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Somers School District","=""1290011""","ELA","N",98,93,94.9,93,"*","*","*","*","*","*","*","*","*","*",556
"Somers School District","=""1290011""","Math","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Somers School District","=""1290011""","Math","N",98,93,94.9,93,"*","*","*","*","*","*","*","*","*","*",546
"South Windsor School District","=""1320011""","ELA","Y",66,59,89.4,59,"*","*",15,25.4,23,39.0,"*","*","*","*",481
"South Windsor School District","=""1320011""","ELA","N",269,267,99.3,267,"*","*","*","*",174,65.2,66,24.7,240,89.9,574
"South Windsor School District","=""1320011""","Math","Y",66,59,89.4,59,20,33.9,23,39.0,10,16.9,6,10.2,16,27.1,476
"South Windsor School District","=""1320011""","Math","N",269,267,99.3,267,12,4.5,76,28.5,128,47.9,51,19.1,179,67.0,566
"Southington School District","=""1310011""","ELA","Y",112,102,91.1,102,"*","*",29,28.4,39,38.2,"*","*","*","*",464
"Southington School District","=""1310011""","ELA","N",372,368,98.9,368,"*","*",46,12.5,220,59.8,"*","*","*","*",562
"Southington School District","=""1310011""","Math","Y",112,102,91.1,102,29,28.4,54,52.9,"*","*","*","*",19,18.6,464
"Southington School District","=""1310011""","Math","N",372,368,98.9,368,"*","*",135,36.7,162,44.0,"*","*","*","*",555
