"CT School Day SAT, 2015-16"
"All Districts, All Subjects, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Naugatuck School District","=""0880011""","Math",312,291,93.3,288,113,39.2,118,41.0,"*","*","*","*",57,19.8,448
"New Britain School District","=""0890011""","ELA",546,471,86.3,471,249,52.9,102,21.7,106,22.5,14,3.0,120,25.5,427
"New Britain School District","=""0890011""","Math",546,471,86.3,471,256,54.4,162,34.4,39,8.3,14,3.0,53,11.3,421
"New Canaan School District","=""0900011""","ELA",328,319,97.3,319,6,1.9,6,1.9,170,53.3,137,42.9,307,96.2,607
"New Canaan School District","=""0900011""","Math",328,319,97.3,319,8,2.5,43,13.5,151,47.3,117,36.7,268,84.0,609
"New Fairfield School District","=""0910011""","ELA",227,227,100.0,227,15,6.6,21,9.3,130,57.3,61,26.9,191,84.1,564
"New Fairfield School District","=""0910011""","Math",227,227,100.0,227,28,12.3,92,40.5,84,37.0,23,10.1,107,47.1,523
"New Haven School District","=""0930011""","ELA",1313,1147,87.4,1145,444,38.8,253,22.1,389,34.0,59,5.2,448,39.1,455
"New Haven School District","=""0930011""","Math",1313,1147,87.4,1145,517,45.2,475,41.5,126,11.0,27,2.4,153,13.4,432
"New London School District","=""0950011""","ELA",192,170,88.5,170,67,39.4,44,25.9,46,27.1,13,7.6,59,34.7,453
"New London School District","=""0950011""","Math",192,170,88.5,170,77,45.3,55,32.4,28,16.5,10,5.9,38,22.4,445
"New Milford School District","=""0960011""","ELA",311,302,97.1,302,29,9.6,47,15.6,173,57.3,53,17.5,226,74.8,539
"New Milford School District","=""0960011""","Math",311,302,97.1,302,36,11.9,126,41.7,104,34.4,36,11.9,140,46.4,526
"Newington School District","=""0940011""","ELA",308,300,97.4,300,26,8.7,54,18.0,163,54.3,57,19.0,220,73.3,535
"Newington School District","=""0940011""","Math",308,300,97.4,300,36,12.0,125,41.7,111,37.0,28,9.3,139,46.3,522
"Newtown School District","=""0970011""","ELA",424,403,95.0,403,14,3.5,32,7.9,236,58.6,121,30.0,357,88.6,577
"Newtown School District","=""0970011""","Math",424,403,95.0,403,25,6.2,114,28.3,188,46.7,76,18.9,264,65.5,562
"North Branford School District","=""0990011""","ELA",155,154,99.4,154,25,16.2,30,19.5,79,51.3,20,13.0,99,64.3,510
"North Branford School District","=""0990011""","Math",155,154,99.4,153,36,23.5,64,41.8,47,30.7,6,3.9,53,34.6,493
"North Haven School District","=""1010011""","ELA",249,245,98.4,245,17,6.9,36,14.7,144,58.8,48,19.6,192,78.4,542
"North Haven School District","=""1010011""","Math",249,245,98.4,245,41,16.7,97,39.6,87,35.5,20,8.2,107,43.7,507
"North Stonington School District","=""1020011""","ELA",56,55,98.2,55,7,12.7,6,10.9,32,58.2,10,18.2,42,76.4,548
"North Stonington School District","=""1020011""","Math",56,55,98.2,55,8,14.5,16,29.1,23,41.8,8,14.5,31,56.4,538
"Norwalk School District","=""1030011""","ELA",832,752,90.4,752,155,20.6,155,20.6,367,48.8,75,10.0,442,58.8,499
"Norwalk School District","=""1030011""","Math",832,752,90.4,752,188,25.0,345,45.9,171,22.7,48,6.4,219,29.1,482
"Norwich Free Academy District","=""9010022""","ELA",593,570,96.1,570,125,21.9,90,15.8,258,45.3,97,17.0,355,62.3,511
"Norwich Free Academy District","=""9010022""","Math",593,570,96.1,569,154,27.1,224,39.4,144,25.3,47,8.3,191,33.6,485
"Norwich School District","=""1040011""","ELA",9,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","Math",9,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","ELA",97,96,99.0,96,9,9.4,10,10.4,56,58.3,21,21.9,77,80.2,550
"Old Saybrook School District","=""1060011""","Math",97,96,99.0,96,11,11.5,37,38.5,36,37.5,12,12.5,48,50.0,533
"Oxford School District","=""1080011""","ELA",171,167,97.7,167,9,5.4,22,13.2,100,59.9,36,21.6,136,81.4,552
"Oxford School District","=""1080011""","Math",171,167,97.7,167,17,10.2,82,49.1,49,29.3,19,11.4,68,40.7,517
"Path Academy District","=""2930013""","ELA",23,6,26.1,6,"*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","Math",23,6,26.1,6,"*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","ELA",160,149,93.1,146,22,15.1,33,22.6,77,52.7,14,9.6,91,62.3,508
"Plainfield School District","=""1090011""","Math",160,149,93.1,146,"*","*",75,51.4,33,22.6,"*","*","*","*",478
"Plainville School District","=""1100011""","ELA",182,181,99.5,181,26,14.4,43,23.8,92,50.8,20,11.0,112,61.9,508
"Plainville School District","=""1100011""","Math",182,181,99.5,181,42,23.2,73,40.3,54,29.8,12,6.6,66,36.5,495
"Plymouth School District","=""1110011""","ELA",119,111,93.3,111,21,18.9,26,23.4,57,51.4,7,6.3,64,57.7,495
"Plymouth School District","=""1110011""","Math",119,111,93.3,111,"*","*",47,42.3,33,29.7,"*","*","*","*",477
"Portland School District","=""1130011""","ELA",95,92,96.8,92,"*","*","*","*",55,59.8,23,25.0,78,84.8,563
"Portland School District","=""1130011""","Math",95,92,96.8,92,10,10.9,36,39.1,32,34.8,14,15.2,46,50.0,544
"Putnam School District","=""1160011""","ELA",60,56,93.3,55,15,27.3,"*","*",25,45.5,"*","*","*","*",479
"Putnam School District","=""1160011""","Math",60,56,93.3,55,23,41.8,25,45.5,"*","*","*","*",7,12.7,447
"Regional School District 01","=""2010012""","ELA",110,107,97.3,107,13,12.1,14,13.1,57,53.3,23,21.5,80,74.8,537
"Regional School District 01","=""2010012""","Math",110,107,97.3,107,"*","*",46,43.0,39,36.4,"*","*","*","*",503
"Regional School District 04","=""2040012""","ELA",146,144,98.6,144,10,6.9,20,13.9,66,45.8,48,33.3,114,79.2,568
"Regional School District 04","=""2040012""","Math",146,144,98.6,144,23,16.0,52,36.1,48,33.3,21,14.6,69,47.9,525
"Regional School District 05","=""2050012""","ELA",352,344,97.7,344,24,7.0,33,9.6,179,52.0,108,31.4,287,83.4,577
"Regional School District 05","=""2050012""","Math",352,344,97.7,344,31,9.0,93,27.0,138,40.1,82,23.8,220,64.0,563
"Regional School District 06","=""2060012""","ELA",113,113,100.0,113,9,8.0,19,16.8,70,61.9,15,13.3,85,75.2,536
"Regional School District 06","=""2060012""","Math",113,113,100.0,113,"*","*",45,39.8,45,39.8,"*","*","*","*",508
"Regional School District 07","=""2070012""","ELA",194,187,96.4,187,16,8.6,16,8.6,110,58.8,45,24.1,155,82.9,557
"Regional School District 07","=""2070012""","Math",194,187,96.4,187,19,10.2,61,32.6,84,44.9,23,12.3,107,57.2,539
"Regional School District 08","=""2080012""","ELA",249,243,97.6,243,17,7.0,17,7.0,142,58.4,67,27.6,209,86.0,565
"Regional School District 08","=""2080012""","Math",249,243,97.6,242,20,8.3,68,28.1,101,41.7,53,21.9,154,63.6,562
"Regional School District 09","=""2090012""","ELA",274,263,96.0,263,"*","*","*","*",152,57.8,87,33.1,239,90.9,587
"Regional School District 09","=""2090012""","Math",274,263,96.0,263,13,4.9,59,22.4,135,51.3,56,21.3,191,72.6,573
"Regional School District 10","=""2100012""","ELA",190,187,98.4,186,12,6.5,9,4.8,120,64.5,45,24.2,165,88.7,565
"Regional School District 10","=""2100012""","Math",190,187,98.4,186,9,4.8,64,34.4,88,47.3,25,13.4,113,60.8,550
"Regional School District 11","=""2110012""","ELA",43,42,97.7,42,"*","*",9,21.4,27,64.3,"*","*","*","*",518
"Regional School District 11","=""2110012""","Math",43,42,97.7,42,"*","*",24,57.1,10,23.8,"*","*","*","*",493
"Regional School District 12","=""2120012""","ELA",50,49,98.0,49,"*","*","*","*",26,53.1,13,26.5,39,79.6,553
"Regional School District 12","=""2120012""","Math",50,49,98.0,49,"*","*",16,32.7,20,40.8,"*","*","*","*",542
"Regional School District 13","=""2130012""","ELA",146,140,95.9,140,13,9.3,8,5.7,82,58.6,37,26.4,119,85.0,558
"Regional School District 13","=""2130012""","Math",146,140,95.9,140,15,10.7,53,37.9,57,40.7,15,10.7,72,51.4,528
"Regional School District 14","=""2140012""","ELA",174,171,98.3,171,17,9.9,23,13.5,102,59.6,29,17.0,131,76.6,538
